RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1981.231V,725 Kirkham St,Variance (VAR),9/16/1981,DCP:  DENIED,9/16/1981,Disapproved,,Disapproved
1981.240C,398 Quint St,Conditional Use Authorization (CUA),7/2/1981,CPC:  APP W/COND:  9030,7/2/1981,Approved,9030,Approved
1981.242V,3708 Clay St,Variance (VAR),8/16/1981,DCP:  GRANTED,8/16/1981,Approved,,Approved
1981.243V,955 Front St,Variance (VAR),10/22/1981,DCP:  GRANTED,10/22/1981,Approved,,Approved
1981.245A,601-631 Market St,Certificate of Appropriateness (COA),7/19/1984,CPC:  Approved:  10064,7/19/1984,Approved,10064,Approved
1981.245D,601-631 Market St,Discretionary Review - Mandatory (DRM),7/19/1984,CPC:  Approved:  10064,7/19/1984,Approved,10064,Approved
1981.255V,2434-48 Bayshore Blvd,Variance (VAR),9/30/1981,DCP:  GRANTED,9/30/1981,Approved,,Approved
1981.258V,151 Union St,Variance (VAR),11/17/1981,DCP:  GRANTED,11/17/1981,Approved,,Approved
1981.276V,1648 Union St,Variance (VAR),9/30/1981,DCP:  DENIED,9/30/1981,Disapproved,,Disapproved
1981.277V,207 Maynard St,Variance (VAR),9/28/1981,DCP:  GRANTED,9/28/1981,Approved,,Approved
1981.278C,909 Montgomery St,Conditional Use Authorization (CUA),10/8/1981,CPC:  MOTION TO APP MATERIALS,10/8/1981,Approved,,Approved
1981.278C,909 Montgomery St,Conditional Use Authorization (CUA),8/20/1981,CPC:  APP W/COND:  9105,8/20/1981,Approved,9105,Approved
1981.282V,601 Chenery St,Variance (VAR),3/5/1982,DCP:  DENIED,3/5/1982,Disapproved,,Disapproved
1981.283C,1450 Portola Dr,Conditional Use Authorization (CUA),8/13/1981,CPC:  APP W/COND:  9095,8/13/1981,Approved,9095,Approved
1981.284V,1809  Gough St,Variance (VAR),5/13/1982,DCP:  GRANTED,5/13/1982,Approved,,Approved
1981.287V,490 Second St,Variance (VAR),3/8/1982,DCP:  GRANTED,3/8/1982,Approved,,Approved
1981.294C,7070 California St,Conditional Use Authorization (CUA),10/1/1981,CPC:  APP W/COND:  9170,10/1/1981,Approved,9170,Approved
1981.297C,562 Mission St,Conditional Use Authorization (CUA),5/14/1984,CPC:  WITHDRAWN,5/14/1984,Withdawn,,Withdawn
1981.307C,1200 Van Dyke Ave,Conditional Use Authorization (CUA),10/1/1981,CPC:  APP W/COND:  9130,10/1/1981,Approved,9130,Approved
1981.309C,1849 44th Ave,Conditional Use Authorization (CUA),10/1/1981,CPC:  APP W/COND:  9175,10/1/1981,Approved,9175,Approved
1981.330V,415 Frederick St,Variance (VAR),8/28/1981,DCP:  GRANTED,8/28/1981,Approved,,Approved
1981.331C,101 Gough St,Conditional Use Authorization (CUA),8/13/1981,CPC:  APP W/COND:  9093,8/13/1981,Approved,9093,Approved
1981.334C,865 Pag St,Conditional Use Authorization (CUA),11/5/1981,CPC:  APP W/COND:  9213,11/5/1981,Approved,9213,Approved
1981.334V,865 Pag St,Variance (VAR),11/16/1981,DCP:  GRANTED,11/16/1981,Approved,,Approved
1981.339C,Taylor & Jefferson Sts/Embarcadero,Conditional Use Authorization (CUA),11/12/1981,CPC:  APP W/COND:  9226,11/12/1981,Approved,9226,Approved
1981.340C,2800 Fitch St,Conditional Use Authorization (CUA),10/8/1981,CPC:  DISAPPROVED:  9182,10/8/1981,Disapproved,9182,Disapproved
1981.355V,829-31 Ashbury St,Variance (VAR),9/1/1981,DCP:  GRANTED,9/1/1981,Approved,,Approved
1981.359V,416-26 Linden St,Variance (VAR),9/2/1981,DCP:  GRANTED,9/2/1981,Approved,,Approved
1981.360C,385-87 Ivy St,Conditional Use Authorization (CUA),9/17/1981,CPC:  APP W/COND:  9152,9/17/1981,Approved,9152,Approved
1981.366V,539 Ivy St,Variance (VAR),11/30/1981,DCP:  DENIED,11/30/1981,Disapproved,,Disapproved
1981.367C,2166 Pacific Ave,Conditional Use Authorization (CUA),5/6/1982,CPC:  APP W/COND:  9381,5/6/1982,Approved,9381,Approved
1981.370V,755 Davis St,Variance (VAR),8/27/1981,DCP:  GRANTED,8/27/1981,Approved,,Approved
1981.373V,848-52 Stanyan St,Variance (VAR),9/24/1981,DCP:  GRANTED,9/24/1981,Approved,,Approved
1981.374V,1376-78 Masonic Ave,Variance (VAR),8/31/1981,DCP:  GRANTED,8/31/1981,Approved,,Approved
1981.375V,2034-44 Fillmore St,Variance (VAR),2/18/1982,DCP:  GRANTED,2/18/1982,Approved,,Approved
1981.377V,3110 Octavia St,Variance (VAR),11/17/1981,DCP:  DENIED,11/17/1981,Disapproved,,Disapproved
1981.378V,218-20 Presidio Ave,Variance (VAR),10/14/1981,DCP:  GRANTED,10/14/1981,Approved,,Approved
1981.379V,1265-67 Bay St,Variance (VAR),4/16/1982,DCP:  DENIED,4/16/1982,Disapproved,,Disapproved
1981.380V,1701 Gough St,Variance (VAR),9/17/1981,DCP:  GRANTED,9/17/1981,Approved,,Approved
1981.381V,480 Second St,Variance (VAR),3/1/1982,DCP:  GRANTED,3/1/1982,Approved,,Approved
1981.382V,3579 Folsom St,Variance (VAR),10/6/1981,DCP:  DENIED,10/6/1981,Disapproved,,Disapproved
1981.383C,530 Arguello Blvd,Conditional Use Authorization (CUA),9/3/1981,CPC:  APP W/COND:  9128,9/3/1981,Approved,9128,Approved
1981.384V,2943 Balboa St,Variance (VAR),9/22/1981,DCP:  DENIED,9/22/1981,Disapproved,,Disapproved
1981.386V,401 Sixth St,Variance (VAR),2/10/1982,DCP:  DENIED,2/10/1982,Disapproved,,Disapproved
1981.387V,1120-30 Kearny St,Variance (VAR),9/24/1981,DCP:  DENIED,9/24/1981,Disapproved,,Disapproved
1981.392V,2300 Sutter St,Variance (VAR),6/9/1982,DCP:  GRANTED,6/9/1982,Approved,,Approved
1981.394V,396-98 Frederick St,Variance (VAR),1/5/1982,DCP:  GRANTED,1/5/1982,Approved,,Approved
1981.397V,662 Ninth Ave,Variance (VAR),9/30/1981,DCP:  GRANTED,9/30/1981,Approved,,Approved
1981.398V,85 & 91 Wool St,Variance (VAR),9/28/1981,DCP:  GRANTED,9/28/1981,Approved,,Approved
1981.400C,500 Post St,Conditional Use Authorization (CUA),8/18/1983,CPC:  APP W/COND:  9792,8/18/1983,Approved,9792,Approved
1981.409C,"Mason,O'Farrell,Ellis, & 5th St N",Conditional Use Authorization (CUA),12/10/1981,CPC:  APP W/COND:  9261,12/10/1981,Approved,9261,Approved
1981.412V,1260-64 Valencia St,Variance (VAR),11/23/1981,DCP:  GRANTED,11/23/1981,Approved,,Approved
1981.415V,1299 Sansome St,Variance (VAR),8/17/1982,DCP:  GRANTED,8/17/1982,Approved,,Approved
1981.418C,380 21st Ave,Conditional Use Authorization (CUA),10/1/1981,CPC:  APP W/CONDS:  9174,10/1/1981,Approved,9174,Approved
1981.421V,37-45A Priest St,Variance (VAR),12/18/1981,DCP:  GRANTED,12/18/1981,Approved,,Approved
1981.429C,2204 Bryant St,Conditional Use Authorization (CUA),11/19/1981,CPC:  APP W/COND:  9231,11/19/1981,Approved,9231,Approved
1981.430C,3481 18th St,Conditional Use Authorization (CUA),11/19/1981,CPC:  APP W/COND:  9229,11/19/1981,Approved,9229,Approved
1981.431V,100 Potrero Ave,Variance (VAR),12/9/1981,DCP:  GRANTED,12/9/1981,Approved,,Approved
1981.439V,1670 Pine St,Variance (VAR),10/29/1981,DCP:  GRANTED,10/29/1981,Approved,,Approved
1981.447V,22 & 101-03 Lower Terrace,Variance (VAR),7/12/1982,DCP:  GRANTED,7/12/1982,Approved,,Approved
1981.449C,747 Post St,Conditional Use Authorization (CUA),7/8/1982,CPC:  APP W/COND:  9448,7/8/1982,Approved,9448,Approved
1981.453V,600 Ulloa St,Variance (VAR),2/23/1982,DCP:  GRANTED,2/23/1982,Approved,,Approved
1981.456C,3401 Irving St,Conditional Use Authorization (CUA),11/19/1981,CPC:  APP W/COND:  9228,11/19/1981,Approved,9228,Approved
1981.457V,160 Monterey Blvd,Variance (VAR),10/5/1981,DCP:  GRANTED,10/5/1981,Approved,,Approved
1981.461C,333 Bush St,Conditional Use Authorization (CUA),1/20/1983,CPC:  APP W/COND:  9610,1/20/1983,Approved,9610,Approved
1981.476V,2801-07 Balboa St,Variance (VAR),11/16/1981,DCP:  DENIED,11/16/1981,Disapproved,,Disapproved
1981.482C,4455 18th St,Conditional Use Authorization (CUA),11/19/1981,CPC:  DISAPPROVED:  9234,11/19/1981,Disapproved,9234,Disapproved
1981.483V,291 10th St,Variance (VAR),10/16/1981,DCP:  GRANTED,10/16/1981,Approved,,Approved
1981.489V,1600 & 1600B Treat Ave,Variance (VAR),10/28/1981,DCP:  GRANTED,10/28/1981,Approved,,Approved
1981.490V,1012 Shrader St,Variance (VAR),8/3/1982,DCP:  DENIED DECK/GRANTED STAIR & LANDING,8/3/1982,Disapproved,,Disapproved
1981.491V,1550 Bryant St,Variance (VAR),7/8/1983,DCP:  GRANTED,7/8/1983,Approved,,Approved
1981.500C,1300 Sacramento St,Conditional Use Authorization (CUA),3/25/1982,CPC:  APP W/COND:  9354,3/25/1982,Approved,9354,Approved
1981.501C,858 Rhode Island St,Conditional Use Authorization (CUA),9/19/1981,CPC:  APP W/COND:  9232,9/19/1981,Approved,9232,Approved
1981.503C,1080-82 Capp St,Conditional Use Authorization (CUA),11/12/1981,CPC:  APP W/COND:  9221,11/12/1981,Approved,9221,Approved
1981.504V,1275 46th Ave,Variance (VAR),10/27/1981,DCP:  DENIED,10/27/1981,Disapproved,,Disapproved
1981.508V,2714 Webster St,Variance (VAR),10/27/1981,DCP:  GRANTED,10/27/1981,Approved,,Approved
1981.509V,167-167A Carl St,Variance (VAR),11/17/1981,DCP:  DENIED,11/17/1981,Disapproved,,Disapproved
1981.511V,115 Manor Dr,Variance (VAR),11/18/1981,DCP:  GRANTED,11/18/1981,Approved,,Approved
1981.512V,2660 Divisadero St,Variance (VAR),11/18/1981,DCP:  GRANTED,11/18/1981,Approved,,Approved
1981.514V,33 Ord Court,Variance (VAR),10/26/1981,DCP:  GRANTED,10/26/1981,Approved,,Approved
1981.515V,267 Downey St,Variance (VAR),11/13/1981,DCP:  GRANTED,11/13/1981,Approved,,Approved
1981.516C,898 Dolores St,Conditional Use Authorization (CUA),11/19/1981,CPC:  APP W/COND:  9230,11/19/1981,Approved,9230,Approved
1981.524C,NE corner Webster & Sacramento Sts,Conditional Use Authorization (CUA),4/15/1982,CPC:  APP W/COND:  9370,4/15/1982,Approved,9370,Approved
1981.527V,615-23 Hayes St,Variance (VAR),12/11/1981,DCP:  GRANTED,12/11/1981,Approved,,Approved
1981.531V,488-92 Fell St,Variance (VAR),12/17/1981,DCP:  GRANTED,12/17/1981,Approved,,Approved
1981.537V,625-31 Greeneich St,Variance (VAR),12/17/1981,DCP:  GRANTED,12/17/1981,Approved,,Approved
1981.541V,64 Fair Oaks St,Variance (VAR),12/3/1981,DCP:  GRANTED,12/3/1981,Approved,,Approved
1981.552V,625 Second St,Variance (VAR),7/21/1982,DCP:  GRANTED,7/21/1982,Approved,,Approved
1981.553V,2024-30 Powell St,Variance (VAR),12/9/1981,DCP:  DENIED,12/9/1981,Disapproved,,Disapproved
1981.554C,589 Guerrero St,Conditional Use Authorization (CUA),12/3/1981,CPC:  APP W/CONDS:  9246,12/3/1981,Approved,9246,Approved
1981.556V,84 Seward St,Variance (VAR),3/4/1982,DCP:  DENIED,3/4/1982,Disapproved,,Disapproved
1981.557B,2350 Noriega St,Office Allocation-321 (OFA),12/10/1981,CPC:  Approved:  9259,12/10/1981,Approved,9259,Approved
1981.557C,2350 Noriega St,Conditional Use Authorization (CUA),12/10/1981,CPC:  APP W/COND:  9258,12/10/1981,Approved,9258,Approved
1981.558V,636 Presidio Ave,Variance (VAR),4/12/1982,DCP:  DENIED,4/12/1982,Disapproved,,Disapproved
1981.563C,735-37 Clayton St,Conditional Use Authorization (CUA),12/3/1981,CPC:  DISAPPROVED:  9243,12/3/1981,Disapproved,9243,Disapproved
1981.566V,2710 & 2710 1/2 Harrison St,Variance (VAR),7/29/1982,DCP:  DENIED,7/29/1982,Disapproved,,Disapproved
1981.567C,2160 Green St,Conditional Use Authorization (CUA),9/2/1982,CPC:  APP W/COND:  9495,9/2/1982,Approved,9495,Approved
1981.567V,2160 Green St,Variance (VAR),10/28/1982,DCP:  GRANTED,10/28/1982,Approved,,Approved
1981.569V,123-31 Townsend St,Variance (VAR),10/15/1982,DCP:  GRANTED,10/15/1982,Approved,,Approved
1981.571V,777 Clayton St,Variance (VAR),5/4/1982,DCP:  GRANTED,5/4/1982,Approved,,Approved
1981.572V,3637 Clay St,Variance (VAR),12/30/1981,DCP:  DENIED,12/30/1981,Disapproved,,Disapproved
1981.573V,501-03 Dolores St,Variance (VAR),12/14/1981,DCP:  GRANTED,12/14/1981,Approved,,Approved
1981.574V,73-77 Carl St,Variance (VAR),1/14/1982,DCP:  GRANTED,1/14/1982,Approved,,Approved
1981.576V,2542-44 Washington ST,Variance (VAR),2/9/1982,DCP:  GRANTED,2/9/1982,Approved,,Approved
1981.581C,870 OFarrell St,Conditional Use Authorization (CUA),7/7/1983,CPC:  APP W/CONDS:  9739,7/7/1983,Approved,9739,Approved
1981.583C,50 Osgood Place,Conditional Use Authorization (CUA),6/17/1982,CPC:  APP COND:  9431,6/17/1982,Approved,9431,Approved
1981.587C,530 Chestnut St,Conditional Use Authorization (CUA),8/5/1982,CPC:  APP W/COND:  9274,8/5/1982,Approved,9274,Approved
1981.589C,691 Fell St,Conditional Use Authorization (CUA),12/3/1981,CPC:  APP W/COND:  9245,12/3/1981,Approved,9245,Approved
1981.591C,So. side of Stoneman St,Conditional Use Authorization (CUA),10/20/1983,CPC:  APP W/COND:  9846,10/20/1983,Approved,9846,Approved
1981.593V,2246-48 Mission St,Variance (VAR),12/17/1981,DCP:  GRANTED,12/17/1981,Approved,,Approved
1981.595C,1396 La Playa,Conditional Use Authorization (CUA),1/7/1982,CPC:  APP W/COND:  9275,1/7/1982,Approved,9275,Approved
1981.604C,1208-12 Jones & 83-89 Pleasant Sts,Conditional Use Authorization (CUA),5/20/1982,CPC:  APP W/COND:  9399,5/20/1982,Approved,9399,Approved
1981.604V,1208-12 Jones & 83-89 Pleasant Sts,Variance (VAR),11/15/1982,DCP:  GRANTED,11/15/1982,Approved,,Approved
1981.607V,2088-90 Union St,Variance (VAR),3/8/1982,DCP:  DENIED,3/8/1982,Disapproved,,Disapproved
1981.609C,399 Buena Vista E Ave,Conditional Use Authorization (CUA),9/30/1982,CPC:  APP W/COND:  9522,9/30/1982,Approved,9522,Approved
1981.614C,1335 Guerrero St,Conditional Use Authorization (CUA),1/21/1982,CPC:  DISAPPROVED:  9287,1/21/1982,Disapproved,9287,Disapproved
1981.616V,550 15th St,Variance (VAR),2/11/1982,DCP:  GRANTED,2/11/1982,Approved,,Approved
1981.623V,130-144 Langton St,Variance (VAR),5/4/1982,DCP:  GRANTED,5/4/1982,Approved,,Approved
1981.632C,4050 17th St,Conditional Use Authorization (CUA),5/24/1984,CPC:  APP W/COND:  10021,5/24/1984,Approved,10021,Approved
1981.632V,4050 17th St,Variance (VAR),5/6/1985,DCP:  GRANTED,5/6/1985,Approved,,Approved
1981.633C,73 Pleasant St,Conditional Use Authorization (CUA),1/7/1982,CPC:  APP W/COND:  9270,1/7/1982,Approved,9270,Approved
1981.634V,3600 Scott St,Variance (VAR),12/28/1981,DCP:  GRANTED,12/28/1981,Approved,,Approved
1981.635V,2500 Van Ness Ave,Variance (VAR),12/28/1981,DCP:  DENIED,12/28/1981,Disapproved,,Disapproved
1981.642V,41 Barcelona Ave,Variance (VAR),2/4/1982,DCP:  DENIED,2/4/1982,Disapproved,,Disapproved
1981.643C,222 Sansome St,Conditional Use Authorization (CUA),1/7/1982,CPC:  APP W/COND:  9274,1/7/1982,Approved,9274,Approved
1981.651C,175 Olympia Way,Conditional Use Authorization (CUA),2/4/1982,CPC:  APP:  9295,2/4/1982,Approved,9295,Approved
1981.655V,2266 Jackson St,Variance (VAR),12/2/1982,DCP:  GRANTED,12/2/1982,Approved,,Approved
1981.665V,2260 Greenwich St,Variance (VAR),3/16/1982,DCP:  GRANTED,3/16/1982,Approved,,Approved
1981.668V,256 Orizaba Ave,Variance (VAR),2/17/1982,DCP:  GRANTED,2/17/1982,Approved,,Approved
1981.669V,1275 46th Ave,Variance (VAR),2/22/1982,DCP:  GRANTED,2/22/1982,Approved,,Approved
1981.670V,3990 Clay St,Variance (VAR),2/9/1982,DCP:  GRANTED,2/9/1982,Approved,,Approved
1981.671V,204 Lawton St,Variance (VAR),1/30/1982,DCP:  GRANTED,1/30/1982,Approved,,Approved
1981.673C,Pacific Ave,Conditional Use Authorization (CUA),11/10/1982,CPC:  APP W/COND:  9553,11/10/1982,Approved,9553,Approved
1981.674C,299 Dolores St,Conditional Use Authorization (CUA),2/4/1982,CPC:  APP W/COND:  9298,2/4/1982,Approved,9298,Approved
1981.677V,14 Churchill Alley,Variance (VAR),3/11/1982,DCP:  DENIED,3/11/1982,Disapproved,,Disapproved
1981.681V,342-46 Moultrie St,Variance (VAR),2/11/1982,DCP:  GRANTED,2/11/1982,Approved,,Approved
1981.688C,600 Sutter St,Conditional Use Authorization (CUA),2/18/1982,CPC:  APP W/COND:  9314,2/18/1982,Approved,9314,Approved
1981.692V,570 38th Ave,Variance (VAR),4/15/1982,DCP:  DENIED,4/15/1982,Disapproved,,Disapproved
1981.693V,539 Bryant St,Variance (VAR),8/24/1982,DCP:  GRANTED,8/24/1982,Approved,,Approved
1981.697V,1908 Baker St,Variance (VAR),1/27/1982,DCP:  GRANTED,1/27/1982,Approved,,Approved
1981.708V,501 St Francis Blvd,Variance (VAR),3/25/1982,DCP:  GRANTED,3/25/1982,Approved,,Approved
1981.712V,38 & 48 San Jose Ave,Variance (VAR),5/26/1982,DCP:  DENIED,5/26/1982,Disapproved,,Disapproved
1981.714V,124-126 Beaver St,Variance (VAR),5/10/1982,DCP:  GRANTED,5/10/1982,Approved,,Approved
1981.718C,2750 Jackson St,Conditional Use Authorization (CUA),3/4/1982,CPC:  APP W/COND:  9330,3/4/1982,Approved,9330,Approved
1982.004V,3900 24th St,Variance (VAR),5/17/1982,DCP:  DENIED,5/17/1982,Disapproved,,Disapproved
1982.005V,225 Francisco St,Variance (VAR),6/21/1982,DCP:  GRANTED,6/21/1982,Approved,,Approved
1982.006C,1624-26 Larkin St,Conditional Use Authorization (CUA),3/4/1982,CPC:  APP W/COND:  9328,3/4/1982,Approved,9328,Approved
1982.006V,1624-26 Larkin St,Variance (VAR),6/3/1982,DCP:  GRANTED,6/3/1982,Approved,,Approved
1982.007C,10 United Nations Plaza,Conditional Use Authorization (CUA),2/18/1982,CPC:  DISAPPROVED:  9317,2/18/1982,Disapproved,9317,Disapproved
1982.013V,1009 Portola Dr,Variance (VAR),3/18/1982,DCP:  DENIED,3/18/1982,Disapproved,,Disapproved
