"Comment","Recordid","Date"
"From: Vincenzo Pierotti <elicenzo@icloud.com>  Sent: Sunday, January 06, 2019 9:53 AM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Subject: Re: Short-Term Rental Reporting Now Open - Due January 31 2019    I no longer have a short  term rental business license.  Why do I continue to get these emails?   Vincenzo Pierotti  52 Tulane St. San Francisco, CA 94134 415-847-3454 ","2016-000842STR","2019-01-09 18:46:05"
"Building Complaint","2015-016220STR","2019-11-12 16:24:30"
"Tanja Beck <tanja@myteamsf.com> Tue 11/12/2019 6:52 PM  	 This message is from outside the City email system. Do not open links or attachments from untrusted sources.    Hi Omar,  I have not been the owner of this property for over 2 years. Could you possibly take me off this email chain?   Thank you, Tanja   	 Tanja Beck Top Producing Team Since 2007 Lic. #1430512 t: 415-377-8756 e: Tanja@myteamsf.com | w: www.MyTeamSF.com facebook twitter yelp linkedin Personal Approach....Professional Results","2015-016220STR","2019-11-12 19:11:52"
"airbnb sent an approval march 26th 2018 with and exp date of june 2017","2015-004276STR","2018-06-06 13:12:23"
"mailed renewal ","2015-004276STR","2018-08-01 08:44:35"
" -----Original Message----- From: Leonard Ling [mailto:lling388@gmail.com]  Sent: Monday, October 30, 2017 5:39 PM To: ShortTermRentals, PLN (CPC) Subject: Not an Active STR Participant   Hi:    Can you take me off your distribution list?  We applied for short term rental license in 8/2015 but discontinued the licence immediately afterwards.  Our daughter moved back into the house.  I appreciate it if you can take me off your list.  Leonard Ling  (for Jenny Hong Du)  Sent from my iPhone ","2015-010752STR","2017-12-11 14:41:56"
"sent request for business records on 01 June 2018","2016-007378STR","2018-06-01 16:08:08"
"revoked","2016-007378STR","2018-06-15 17:53:00"
"reinstated after review of appeal","2016-007378STR","2019-06-14 16:33:18"
"www.airbnb.com/users/show/3958328","2016-007378STR","2019-07-05 16:14:54"
"Renewed STR cert issued on 7/10/20","2016-007378STR","2020-07-10 14:18:42"
"renewal mailed","2016-002137STR","2018-06-05 14:32:52"
"Apr approve - no app & pmt","2016-002137STR","2020-05-20 09:56:53"
"From: Ariel McCann <ariel@acrewcapital.com>  Sent: Tuesday, May 19, 2020 6:26 PM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Cc: Lauren Kolodny <laurenkolodny@gmail.com>; Lauren Kolodny <lauren@acrewcapital.com>; Mitch Houff <mitch.houff@gmail.com> Subject: Re: Confirmation of STR Nonrenewal  Hello,  Please find the 3 (de-activated) listing links and the original application email, below. Please confirm the closure of the account upon receipt.  Email: fountainstcondo@gmail.com Links: •	https://www.airbnb.com/rooms/15027416 •	https://www.airbnb.com/rooms/9476849 •	https://www.airbnb.com/rooms/9476010    Thank you.  On Thu, May 14, 2020 at 5:11 PM CPC-ShortTermRentals <shorttermrentals@sfgov.org> wrote: Thanks for the email, we just need the email she applied with, and the URL links of the listings to confirm closure of her account.     MILTON MARTIN, PLANNER TECH Office of Short Term Rentals, City & County of San Francisco 1650 Mission Street, Suite 400, San Francisco, CA 94103 Direct: 415-575-9052│Fax: 415-558-6409 Email: milton.martin@sfgov.org Web: https://shorttermrentals.sfgov.org   The Planning Department is open for business during the Shelter in Place Order. Most of our staff are working from home and we’re available by e-mail. Our Public Portal, where you can file new applications, and our Property Information Map are available 24/7. The Planning Commission is convening remotely and the public is encouraged to participate. The Board of Appeals and Board of Supervisors are accepting appeals via e-mail despite office closures. All of our in-person services at 1650 and 1660 Mission Street are suspended until further notice. Click here for more information.         From: Ariel McCann <ariel@acrewcapital.com>  Sent: Thursday, May 14, 2020 4:16 PM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Cc: Lauren Kolodny <laurenkolodny@gmail.com>; Lauren Kolodny <lauren@acrewcapital.com> Subject: Confirmation of STR Nonrenewal    	This message is from outside the City email system. Do not open links or attachments from untrusted sources.   Hello,   I am writing on behalf of my boss Lauren Kolodny, copied on this email, to confirm that she has decided to stop hosting short term rentals. All listings have been removed and the required forms have been submitted to the Office of the Treasurer & Tax Collector and the Office of the Assessor-Recorder. Below is the information for her STR certificate to confirm she no longer intends to host short-term rentals.   o    STR certificate number: STR-0001078 o    Address: 66 Fountain St. San Francisco, CA 94114 o    Name: Lauren Kolodny     Kind regards,  Ariel    --  Ariel McCann Administrative Assistant Acrew Capital M: 415.420.7990 https://acrewcapital.com/    --  Ariel McCann Administrative Assistant Acrew Capital M: 415.420.7990 https://acrewcapital.com/ ","2016-002137STR","2020-05-20 14:25:33"
"Second listing in walnut creek https://www.airbnb.com/rooms/21650482","2016-004726STR","2018-07-10 09:03:47"
"MAILED OUT RENEWAL 11/8/18","2016-004726STR","2018-11-07 17:15:09"
"Oct approval - no pmt / no respond","2015-005646STR","2019-11-21 13:22:37"
"Received a hard copy of 2019-Q3 report / post mark 11/07/19","2015-018415STR","2019-11-15 09:54:20"
"The case has been closed out on May, 2019 as expired certificate","2016-001246STR","2019-11-04 09:28:44"
"per applicant's request, no longer renting home, would like to cancel registration ","2016-004476STR","2017-07-19 15:42:53"
"confirmation received email dated 1/13/2017","2016-001759STR","2017-01-13 11:33:46"
"came to intake handed renewal certificate ","2016-000838STR","2018-05-30 13:33:06"
"mailed renewal","2016-000141STR","2018-04-18 15:02:51"
"Dec reapply - no app / no pmt","2015-015629STR","2020-01-02 11:07:16"
"SUSPENDED DUE TO BUILDING COMPLAINT","2016-000412STR","2018-03-01 15:47:43"
" https://www.airbnb.com/rooms/252321  https://www.airbnb.com/users/show/1324175  https://www.airbnb.com/rooms/19709987","2016-002045STR","2018-11-18 23:39:41"
"CPC-ShortTermRentals You were mailed a paper certificate for your short-term residential rental certificate (equivalent of a tourist authorization) back in June 2017.   Your certificate number is STR-0000448 with an expiration date of June 10, 2019.    You are required to file quarterly reports on our website each quarter. Even if you have no short-term rentals in a given quarter. This is NOT handled by hosting websites for you. We do NOT accept late reports.    Office of Short Term Rentals  | City & County of San Francisco   shorttermrentals@sfgov.org     |  (415) 575-9179 1650 Mission Street, 4th Floor, San Francisco, CA 94103  https://shorttermrentals.sfgov.org | Learn More About Registration Here Press Release: City Attorney Pursues $5.5 million penalty for illegal short-term rentals Press Release: City Attorney sues owners of illegal hotel     EVELYN KELSEY <ezkcloud@icloud.com> Wed 4/24, 11:23 AM CPC-ShortTermRentals;Evelyn Kelsey <evelyn.kelsey@gmail.com> Flag for follow up. Completed on Monday, April 29, 2019. This message is from outside the City email system. Do not open links or attachments from untrusted sources.     Hello, I have my home (121 Miguel St., San Francisco 94131) listed with AirBnB and Home Away/VRBO and have been renting it out since 2014.  I am registered, have a current Business Registration Certificate.  However, I want to also list my home with “Trip Advisor”; but they tell me I must also have a “Tourist License,” which it appears I do not have. Could you please help me obtain a Tourist License — or perhaps I have one and can’t locate it and you could restore it for me, or charge me for a new one? Mine is an urgent request, as I need to let my place starting May 20, 2019.  Your earliest response will be much appreciated.  Please copy your reply to my gmail as well: Evelyn.kelsey@gmailo.com.  Thank you! Evelyn Kelsey","2015-004597STR","2019-04-29 11:24:31"
"June reapply / new app in SD","2015-004597STR","2019-09-26 15:27:53"
"emailed hard copy qr","2016-003425STR","2019-01-14 15:33:14"
"On Mar 6, 2019, at 10:25 AM, Martin, Milton (CPC) <milton.martin@sfgov.org> wrote:  Hi Katherine, 1.	It appears your 2 year certificate expired with the Office of Short-Term Rentals. Please note that this is different from the Business Registration Certificate from the SF Treasurer & Tax Collector (which needs to be renewed yearly).  Renewals are not automatic. Hosts are responsible for submitting renewal applications no earlier than 30 days before expiration. 2.	You may re-apply to host short-term rentals, but a whole NEW application and application fee (the older application fee of $50 no longer applies). You may only apply if you actually live in the same dwelling unit for at least 275 nights per year (this is an important issue for us). If the property features multiple legal dwelling units, you may only host short-term rentals in the same dwelling unit where you also reside at least 275 nights per year.  3.	If you were primarily using Airbnb you should go through their website and create a new listing. As you do so, you will be prompted to apply for a short-term rental certificate through Airbnb's website. This is recommended because once you apply you should be able to legally host again while your application is pending review.   If you apply through our website or in-person, it will likely take longer (and is more complicated) to get your listing re-enabled. 4.	Given the volume of applications, and a number of challenges, we cannot given an estimate on timing for final approval. That is why it is recommended that you apply through Airbnb's website, if you are primarily using Airbnb to host. If you are using another service you can apply through our website at shorttermrentals.sfgov.org    MILTON MARTIN, PLANNER TECH Office of Short Term Rentals, City & County of San Francisco 1650 Mission Street, Suite 400, San Francisco, CA 94103 Direct: 415-575-9052│Fax: 415-558-6409 Email: milton.martin@sfgov.org Web: https://shorttermrentals.sfgov.org ","2016-003425STR","2019-05-10 09:31:43"
"126 Cayuga Avenue CPC-ShortTermRentals Fri 7/26/2019 12:28 PM Hi.   Your certificate expired and it appears you were illegally hosting.   If you wish to host short-term rentals, you will need to re-apply with a whole new application, proofs of residency that are current and new application fee.  Step 1: Apply here: https://businessportal.sfgov.org/forms/short-term-rental-eligible Step 2: E-mail us back after you submit the application so we can ask Airbnb to re-list your listings. It will take 5-10 days from when you e-mail us back after submitting a complete application.    Business Account Number (part 1 of the application) is 1024388 (for when you fill out our application.   https://www.airbnb.com/rooms/7247351   One room cottage tucked away in SF - Airbnb Jul 20, 2019 - Entire home/apt for $125. This cottage is tucked away inside our gated home in the Glen Park neighborhood of San Francisco. It's nestled right beside our home and has a priv... www.airbnb.com   Office of Short Term Rentals  | City & County of San Francisco   shorttermrentals@sfgov.org     |  (415) 575-9179 1650 Mission Street, 4th Floor, San Francisco, CA 94103  https://shorttermrentals.sfgov.org | Learn More About Registration Here Press Release: City Attorney Pursues $5.5 million penalty for illegal short-term rentals Press Release: City Attorney sues owners of illegal hotel   From: Shauna Pilgreen <shauna.pilgreen@icloud.com> Sent: Wednesday, July 24, 2019 2:54 PM To: CPC-ShortTermRentals Subject: 126 Cayuga Ave AIRBNB    This message is from outside the City email system. Do not open links or attachments from untrusted sources.    I think I am behind on my quarterly updates. I haven’t gotten an email from Short Term Rentals in a while to report the stays at our AirBnb. Please help me get into my account to update the quarterly statements.  Shauna Pilgreen","2016-004962STR","2019-07-26 12:38:28"
"Certificate mailed - 5/26/2017","2015-001301STR","2017-05-26 12:46:46"
"mailed renewal ","2015-016521STR","2018-05-11 16:35:07"
"Apr approve - no app & pmt","2015-016521STR","2020-05-19 15:07:12"
"Received a hard copy of 2019-Q4 report","2015-015565STR","2020-02-19 15:00:03"
"Received hard copy of 2020-Q1 report","2015-015565STR","2020-05-11 07:58:35"
"Certificate mailed out on 2/17/2017","2015-002860STR","2017-02-17 11:44:21"
"CK#5183 return to the sender - March Reapply","2015-002860STR","2019-07-30 13:11:21"
"no hard copies found of qr - need to reapply ","2015-002860STR","2019-08-19 12:49:37"
"mailed out renewal ","2015-015305STR","2018-01-29 16:53:07"
"Jan reapply / sheet2 - no app & no pmt","2015-015305STR","2020-02-25 10:18:35"
"Hi. Thanks for reaching out to us. Please note the following: 1) We cannot count quarterly reports that are not submitted in time. I have saved your file though.  2) While we do not revoke certificates for a single missed quarterly report, please note that certificates can be revoked for missing multiple quarterly reports. Thanks   Bo Huang <bohuang616@gmail.com> Sat 5/5, 6:44 PM Download  Save to OneDrive - CCSF Dear Short Term Rentals office  Attached is the quarterly reporting for STR-0001337 for the period of Jan 1 to March 31st  Sincerely  Kelin","2016-003257STR","2018-05-07 11:08:37"
"EMAILED HARD COPY QR","2016-002396STR","2018-08-07 19:44:00"
"emailed hard copy qr","2016-002396STR","2019-01-28 13:02:05"
"probably lives here Lanalee	Lewis	122 Quintana St	Santa Fe	NM	87501	lanaleelewis@gmail.com ","2016-002396STR","2019-04-04 19:03:55"
"qr in 2019 quarter 1 to show '2015' instead of '2019'","2016-002396STR","2019-04-29 12:50:34"
"Received a hard copy of 2019-Q3 report","2016-002396STR","2019-10-30 11:16:34"
"Short term rental quarterly report | 159 Faith Street CPC-ShortTermRentals Mon 2/3/2020 7:54 AM Hi.  Unfortunately we do not accept late quarterly reports.  Please make sure to not miss timely reporting in April 2002, for your January, February, and March guest stays (please only provide guest stays for those three months), to remain in good standing.   Also in reference to your e-mail, we likely sent out a reminder e-mail earlier to you in January 2020 as well.   Office of Short Term Rentals  | City & County of San Francisco   shorttermrentals@sfgov.org     |  (415) 575-9179 1650 Mission Street, 4th Floor, San Francisco, CA 94103  https://shorttermrentals.sfgov.org | Learn More About Registration Here Press Release: City Attorney Pursues $5.5 million penalty for illegal short-term rentals Press Release: City Attorney sues owners of illegal hotel   From: Lanalee Lewis <lanaleelewis@gmail.com> Sent: Sunday, February 2, 2020 9:57 AM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Subject: Short term rental quarterly report    This message is from outside the City email system. Do not open links or attachments from untrusted sources.    Dear Kevin,  I didn’t receive the email from your office until January 31st telling me I had only until midnight on that day to report the last quarter of 2019. I didn’t receive that email until February 1, as I was out of town and not electronically available. When I tried to report on February 1, the site was closed to reporting. I plan to mail the hard copy of my report tomorrow when the post office and UPS are opened.  I have had technical difficulties in the past with my reporting, but I have done due diligence in getting my reports in by the deadline.  Please accept my late report. I do not want to be jeopardized.  Thanks for your understanding.  Sincerely,  Lanalee Lewis 159 Faith Street San Francisco, CA 94110 STR 01265","2016-002396STR","2020-02-03 07:53:31"
"May reapply - new app & pmt","2016-002396STR","2020-06-18 17:47:10"
"host said she never received her STR Certificate ","2015-015973STR","2016-07-27 10:29:55"
"mailed out renewal ","2015-015973STR","2018-01-29 17:09:58"
"Jan reapply / sheet2 - no app & no pmt","2015-015973STR","2020-02-25 09:50:19"
"Hi. Thanks for reaching out to us. Please note the following: 1) We cannot count quarterly reports that are not submitted in time.   2) While we do not revoke certificates for a single missed quarterly report, please note that certificates can be revoked for missing multiple quarterly reports.  3) Please don't send a renewal form more than 30 days in advance. On your renewal form please indicate the change in ownership structure as a note.  Thanks and have a great weekend!   Jake Sproull <jake_sproull@yahoo.com> Yesterday, 5:02 PM ShortTermRentals, PLN (CPC) Hello,   I have Short Term Rental (STR 000 1369) that is coming up for renewal in June. Since my original registration, my building has converted from a Tenancy In Common to a condominium, and so the City changed my Lot # (the Block # is still the same, however). Is there anything I need to do on the renewal application to highlight this change? Other than the Lot #, all the other information about the property will be the same as on my original application.   Secondly, I forgot to file my most recent quarterly report by the April 30th deadline. Is there a way to file a late report, or send you the info via email? Or can include the first quarter stays with my next report?   Thanks in advance for any assistance you can provide,   William Jake Sproull  174 Langton Street San Francisco, CA 94103 (415) 572 - 3746","2015-018024STR","2018-05-04 09:44:21"
"From: jake sproull <jake_sproull@yahoo.com>  Sent: Monday, June 22, 2020 10:16 AM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Subject: June renewal   	This message is from outside the City email system. Do not open links or attachments from untrusted sources.   Hello, I'm due for renewal this month, but because of the corona virus I've paused my listing on Airbnb and I'm not taking any reservations.  I will wait and reapply for a new STR certification later on.  My STR certificate number is:  0001369.  If you have any questions, please let me know.  Thanks,  William Jake Sproull 174 Langton Street  San Francisco, CA 94103 ","2015-018024STR","2020-06-23 17:28:21"
"1487849	https://www.airbnb.com/rooms/1487849  Us My husband and and our daughter and I live in the unit upstairs with our two dogs. We try to be considerate but we live upstairs so there will be some noise. We are happy to help out in any way. My dogs are very sweet but they may bark at you when you arrive (they get very excited and assume you are coming to see them). There is a very nice front deck that you are welcome to enjoy. It is located right next to the upstairs front door. Since you have your own private entrance and access to the lockbox key it is possible that we completely miss each other for the entire stay. The key will be located in a lock box (the code is provided once you book). Also there is a door in your bedroom that leads to our back yard but it can be locked so we can not enter your space. Please stay on your side of the gate until you have had a chance to meet our dogs as they share the back yard.","2015-014318STR","2019-12-01 10:22:07"
"Nov reapply / new app in SD","2015-014318STR","2019-12-05 09:22:21"
"•	The operation of illegal short-term rentals at another property, by the same applicant (359 Frederick Street).  •	A building complaint (Complaint No. 201888281) for a possible unpermitted dwelling unit (or unpermitted kitchen) at 186 Fairmount Street. Do not remove any unpermitted elements, including kitchen sinks/counters, if present, unless authorized by both the Planning Department and Department of Building Inspection. Do not evict any long-term tenants, if present, in specific response to this letter.  ","2015-016292STR","2018-08-27 11:45:57"
"Application withdrew app ","2016-004282STR","2018-07-09 11:17:17"
"I have not hosted for over a year, so i would like to terminate my host registration permanently. .   Name: Alix Rosenthal Address: 227 Upper Terrace Record: STR-0000942    --  Alix Rosenthal alix@alixro.com ","2015-012865STR","2018-10-28 16:50:26"
"request sent via email dated 1/11/2017","2016-001205STR","2017-01-11 11:50:21"
"expired and building complaint","2016-004658STR","2019-03-06 19:37:34"
"Certificate mailed - 5/24/2017","2015-003396STR","2017-05-23 13:55:55"
"SUSPENDED due to building complaint on 20 NOV 2017.","2016-003650STR","2017-11-20 11:56:56"
"left messages already; 415-271-6578. Sent an e-mail back asking him to read Rooms Down Bulletin and noting pending bulding permit on 28 march 2018","2016-003650STR","2018-03-28 10:54:29"
"per applicant's email - discontinued rental business as of 5/27/2017","2015-015485STR","2017-06-01 11:36:28"
"mailed renewal ","2016-000780STR","2018-04-24 12:43:26"
"March reapply - new app in SD (Michelle)","2016-000780STR","2020-03-30 17:14:47"
"MOVED TO ENGLAND IN 2016, now back in SF. Potenital 90 day violator","2015-018314STR","2018-02-06 14:06:03"
"https://www.airbnb.com/rooms/3221082 ","2015-014985STR","2017-12-21 12:37:18"
"SUSPENDED due to building complaint","2015-014985STR","2019-05-06 17:41:22"
"https://www.airbnb.com/rooms/2413882?guests=1&adults=1","2015-016506STR","2018-04-05 17:00:12"
"1.	It appears your 2 year certificate expired with the Office of Short-Term Rentals. Please note that this is different from the Business Registration Certificate from the SF Treasurer & Tax Collector (which needs to be renewed yearly).  Renewals are not automatic. Hosts are responsible for submitting renewal applications no earlier than 30 days before expiration. 2.	You may re-apply to host short-term rentals, but a whole NEW application and application fee (the older application fee of $50 no longer applies). You may only apply if you actually live in the same dwelling unit for at least 275 nights per year (this is an important issue for us). If the property features multiple legal dwelling units, you may only host short-term rentals in the same dwelling unit where you also reside at least 275 nights per year.  3.	If you were primarily using Airbnb you should go through their website and create a new listing. As you do so, you will be prompted to apply for a short-term rental certificate through Airbnb's website. This is recommended because once you apply you should be able to legally host again while your application is pending review.   If you apply through our website or in-person, it will likely take longer (and is more complicated) to get your listing re-enabled. 4.	Given the volume of applications, and a number of challenges, we cannot given an estimate on timing for final approval. That is why it is recommended that you apply through Airbnb's website, if you are primarily using Airbnb to host. If you are using another service you can apply through our website at shorttermrentals.sfgov.org  Office of Short Term Rentals  | City & County of San Francisco  shorttermrentals@sfgov.org     |  (415) 575-9179 1650 Mission Street, 4th Floor, San Francisco, CA 94103 https://shorttermrentals.sfgov.org | Learn More About Registration Here ","2015-016506STR","2019-02-28 16:58:04"
"mailed renewal ","2016-001259STR","2018-04-26 14:40:32"
"This is to inform you that I no longer intend to host short-term rentals    STR-0001072   264 Precita Ave. San Francisco, CA 94110  Marc Joseph Arnold ","2016-001259STR","2018-10-03 20:13:05"
"Called about renewal. Sent him a request for booking calendars on 07 may 2018.","2016-000161STR","2018-05-07 11:49:03"
"From: Miles Johnson <miles.alexander.johnson@gmail.com>  Sent: Wednesday, April 29, 2020 7:18 AM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Subject: Re: Short-Term Rental Reporting Due Tomorrow (April 30th)   	This message is from outside the City email system. Do not open links or attachments from untrusted sources.   Hi there,   I am no longer hosting short-term rentals at 272 Guerrero Street in San Francisco (I've moved, so this is a permanent closure). Thanks and please let me know if you need any additional information to close out my account!  Miles Johnson  ","2016-001343STR","2020-04-29 16:21:30"
"no longer the permanent resident, sold the property in Dec 2016","2016-000696STR","2017-05-04 16:36:42"
"Emailed hard copy QR for QR2","2016-002981STR","2019-08-05 12:20:44"
"Apr reapply - no app & pmt","2016-002981STR","2020-05-20 09:33:27"
"mailed renewal ","2016-001203STR","2018-08-07 19:01:51"
"Apr reapply - Finance received $450 (check #193), follow up new application","2016-001203STR","2020-05-11 14:30:32"
"Received new app on 5/21/20","2016-001203STR","2020-05-22 10:56:32"
"March reapply - new app in SD","2016-001556STR","2020-03-12 13:53:39"
"per applicant's request, would like to host long-term rental only","","2017-04-21 13:49:23"
"Adrian Putra Closed - Withdrawn on 06/23/2020   ","2016-002960STR","2020-07-28 14:09:57"
"per applicant's email, no longer host short-term rentals, wants to cancel registration","2015-018468STR","2017-07-11 16:38:51"
"Reinstated 23 May 2018.  Building complaints resolved","2016-003195STR","2018-05-23 14:00:22"
"CAME TO INATE GAVE HARD COPY OF CERTI.","2016-003195STR","2018-07-11 14:36:59"
"May reapply - no app & pmt","2016-003195STR","2020-06-02 20:25:46"
"request sent via email dated 3/22/2017","2016-001624STR","2017-03-23 13:18:31"
"per phone message and email confirmation - no longer host short-term rentals","2016-000631STR","2017-07-18 08:40:53"
"Received a hard copy of 2019-Q3 report ","2016-001230STR","2019-11-05 08:17:30"
"Certificate mailed - 6/8/2017","2015-009367STR","2017-06-08 15:04:33"
"emailed hard copy qr ","2015-009367STR","2018-10-04 12:23:03"
"July renewal / new app in SD","2015-009367STR","2019-09-27 11:05:13"
"Melody,  Without response otherwise, we are moving to close out your certificate.  Peter  From: Byrne, Peter (ADM)  Sent: Friday, May 26, 2017 5:26 PM To: 'melody.wendt@gmail.com' Subject: RE: Your STR renewal  Hi Melody,  Any news on the below? Peter  From: Byrne, Peter (ADM)  Sent: Tuesday, April 25, 2017 3:06 PM To: 'melody.wendt@gmail.com' Subject: Your STR renewal  Hi Melody,  Our records indicate that you initially registered to be a short-term rental host in April of 2015.  Your initial registration was valid for a period of two years, and is up for renewal. We appreciate your efforts to remain in “good standing” as a host by filing your quarterly reports in a timely manner, and by operating your rental in a manner that respects the quality of life for the surrounding neighborhood. As such, you are eligible for an abbreviated renewal process of your certificate. If you wish to continue hosting short-term rentals for an additional two year period, you are still the permanent resident of the unit where you conduct short-term rentals, and the information that you submitted with your initial application is still valid, you may renew your certificate by filling out and mailing the attached form, along with the standard application fee of $250.00. We sent out renewal notifications two months ago and as of now have yet to receive yours. As of now your renewal is late, however that is not an immediate issue if we act with haste and purpose to get this renewal done promptly. If you are not conducting short-term rentals please let us know and we can close out your certificate appropriately.  I’ve attached the form we sent via snail mail for quick reference.   Let me know if you have any further questions.  For reference your STR # is STR-00214 Registration Date: 4/10/2015 Expiration Date 4/09/2017  Peter    Peter Byrne Office of Short Term Rentals  Office of Short Term Rentals, City and County of San Francisco 1650 Mission Street, Suite 400, San Francisco, CA 94103 Direct: 415-575-8725 Fax: 415-558-6409 Email: Peter.Byrne@sfgov.org Web: www.sfgov.org/OSTR  ","2015-003384STR","2017-07-05 16:32:01"
"June Approved - no app & pmt","2016-004943STR","2020-07-17 02:29:09"
"submitted a late QR2 2019","2016-004690STR","2019-09-05 16:30:40"
"Apr reapply - no app & pmt","2016-004690STR","2020-05-19 14:53:57"
"mailed renewal ","2015-018093STR","2018-02-05 15:45:09"
