rec_num,time_log_seq,billable_flag
2012.0403W,4137731,N
2013.1354E,4137796,N
2014.1512E,4137807,N
2014.1215E,4137903,N
2012.1531E,4137948,N
2008.1084H_3,4138106,N
2008.1084H_3,4138217,N
1996.547E,4138374,N
2006.1308E_5,4138375,N
2010.0515E,4138376,N
2013.0154E_3,4138377,N
2004.1059E_3,4139182,N
1996.547E,4139183,N
1996.281E_11,4139184,N
2011.0408E,4139185,N
2013.0154E_3,4139187,N
2010.0515E,4139188,N
1996.547E,4139291,N
2006.1308E_5,4139292,N
2013.1576E,4139505,N
2013.1626C,4139520,N
2013.1715V,4139544,N
2008.1084H_3,4140003,N
2013.1626C,4140349,N
2013.1715V,4140350,N
2012.0403W,4140472,N
2013.1354E,4140543,N
2014.1512E,4140559,N
2014.1215E,4140681,N
2012.1531E,4140737,N
2013.1576E,4140738,N
2008.1084H_3,4140967,N
2008.1084H_3,4140968,N
2008.1084H_3,4141112,N
1996.547E,4141292,N
2006.1308E_5,4141293,N
2010.0515E,4141294,N
2013.0154E_3,4141295,N
2015-012129VAR,4141728,N
2012.0403W,4142040,N
2013.1354E,4142059,N
2012.0403W,4142168,N
2013.1626C,4142504,N
2013.1715V,4142505,N
2012.0403W,4142661,N
2012.0403W,4142662,N
2013.1354E,4142742,N
2013.1354E,4142743,N
2014.1512E,4142759,N
2014.1215E,4142914,N
2012.1531E,4142986,N
2013.1576E,4142987,N
2008.1084H_3,4143257,N
2008.1084H_3,4143408,N
1996.547E,4143603,N
2006.1308E_5,4143604,N
2010.0515E,4143605,N
2013.0154E_3,4143606,N
2015-012129VAR,4143759,N
2013.1626C,4145018,N
2013.1715V,4145019,N
2012.0403W,4145206,N
2013.1354E,4145300,N
2014.1512E,4145317,N
2014.1215E,4145490,N
2012.1531E,4145567,N
2013.1576E,4145568,N
2008.1084H_3,4145892,N
2008.1084H_3,4146064,N
1996.547E,4146280,N
2006.1308E_5,4146281,N
2010.0515E,4146282,N
2013.0154E_3,4146283,N
2015-012129VAR,4146447,N
2012.1362C,4146954,N
1996.222E,4147145,N
2012.1187E,4147154,N
2012.0865E,4147404,N
2013.0154E_3,4147405,N
1996.547E,4147407,N
2005.1074E,4147471,N
2007.0946E_14,4147472,N
2012.1187E,4147741,N
1996.222E,4147893,N
2013.1626C,4147922,N
2013.1715V,4147923,N
2012.0403W,4148135,N
2013.1354E,4148234,N
2014.1512E,4148250,N
2014.1215E,4148448,N
2012.1531E,4148543,N
2013.1576E,4148544,N
2008.1084H_3,4148887,N
2012.1362C,4148909,N
2008.1084H_3,4149092,N
1996.547E,4149317,N
2006.1308E_5,4149318,N
2010.0515E,4149319,N
2013.0154E_3,4149320,N
2015-012129VAR,4149504,N
2015-004739CUA,4149884,N
2014.1418V,4149886,N
2012.0203E,4149981,N
2006.1308E_5,4150743,N
2006.1308E_5,4150744,N
2004.1059E_3,4150745,N
2004.1059E_3,4150746,N
2007.0558E_5,4150747,N
2005.1074E,4150748,N
2013.0154E_3,4150749,N
2012.0403W,4150887,N
2012.0403W,4150888,N
2014.1329V,4150891,N
2014-003126VAR,4150893,N
2006.0868E,4151067,N
2014.1459E,4151103,N
2014.1512E,4151395,N
2013.1354E,4151411,N
2006.0868E,4151500,N
2014-003126VAR,4151549,N
2014.1329V,4151554,N
2013.1354E,4151592,N
2014.1512E,4151596,N
2014.1459E,4151641,N
2006.0868E,4152530,N
2014-003126VAR,4152618,N
2014.1329V,4152623,N
2013.1354E,4152689,N
2014.1512E,4152693,N
2014.1459E,4152783,N
2012.0403W,4153225,N
2006.0868E,4153923,N
2014-003126VAR,4154045,N
2014.1329V,4154050,N
2013.1354E,4154171,N
2014.1512E,4154178,N
2014.1459E,4154317,N
2012.0403W,4155381,N
2006.1308E_5,4155654,N
2006.1308E_5,4155655,N
2011.0408E,4155656,N
2005.1074E,4155661,N
1996.547E,4155667,N
1996.281E,4155668,N
2006.0868E,4155745,N
2014-003126VAR,4155900,N
2014.1329V,4155905,N
2012.0403W,4156008,N
2013.1354E,4156095,N
2014.1512E,4156106,N
2014.1459E,4156279,N
2006.1308E_5,4156715,N
2011.0408E,4156716,N
2012.0203C,4157802,N
1996.281E_11,4157854,N
2006.0358E,4157857,N
2011.0408E,4157858,N
2012.0493E,4158204,N
2013.0154E_3,4158205,N
2012.0403W,4158347,N
2006.0383E,4158413,N
2010.0944E_3,4159037,N
2010.0944E_3,4159105,N
2014.1512E,4159199,N
2007.0653A,4159219,N
2012.0403W,4159270,N
2010.0944E_3,4159429,N
2012.0403W,4159444,N
2014.1512E,4159465,N
2010.0944E_3,4159493,N
2007.0653A,4159555,N
2012.1445E,4159903,N
2012.0403W,4160154,N
2013.1354E,4160178,N
2012.0203E,4160223,N
2010.0944E_3,4160451,N
2012.0403W,4160470,N
2012.0403W,4160471,N
2013.1354E,4160512,N
2014.1512E,4160520,N
2010.0944E_3,4160572,N
2012.0203E,4160573,N
2007.0653A,4160682,N
2012.1187E,4160916,N
2006.0868E,4160945,N
2012.0203E,4161287,N
2013.0986E_3,4161528,N
2007.0946E_14,4161530,N
2007.0946E_14,4161631,N
2006.1308E_5,4161632,N
2006.0358E,4161637,N
2008.0021E_11,4161638,N
2013.0154E_3,4161639,N
2012.1187E,4161726,N
2010.0944E_3,4161881,N
2012.0403W,4161904,N
2013.1354E,4161953,N
2014.1512E,4161965,N
2010.0944E_3,4162064,N
2012.0203E,4162066,N
2012.0203E,4162096,N
2007.0653A,4162274,N
2012.0403W,4162638,N
2012.0403W,4162824,N
2012.0403W,4162825,N
2013.0154E_3,4163246,N
2011.0408E,4163247,N
2007.0946E_14,4163248,N
1996.547E,4163249,N
2007.0456X,4163611,N
2015-007755ENF,4163755,N
2014.1512E,4164118,N
2013.1354E,4164119,N
2012.0865E,4164123,N
2012.0403W,4164175,N
2012.0865E,4164332,N
2015-007755ENF,4164342,N
2012.0403W,4164421,N
2013.1354E,4164439,N
2014.1512E,4164444,N
2015-003049CUA,4164785,N
2006.1308E_5,4165086,N
2014-001524VAR,4165191,N
2006.0383E,4165241,N
2006.1308E_5,4165496,N
2012.0865E,4165497,N
2015-007755ENF,4165518,N
2006.0383E,4165657,N
2012.0403W,4165660,N
2013.1354E,4165700,N
2014.1512E,4165709,N
2014-001524VAR,4165874,N
2006.1308E_5,4166297,N
2012.0865E,4166298,N
2015-007755ENF,4166317,N
2006.0383E,4166446,N
2012.0403W,4166448,N
2013.1354E,4166486,N
2014.1512E,4166493,N
2014-001524VAR,4166657,N
2011.0038X,4167257,N
2013.1354E,4167436,N
2008.0021E_11,4167517,N
1996.547E,4167518,N
2006.1308E_5,4167580,N
2006.1308E_5,4167595,N
2006.1308E_5,4167758,N
2012.0865E,4167759,N
2015-007755ENF,4167783,N
2006.0383E,4167987,N
2012.0403W,4167989,N
2013.1354E,4168039,N
2013.1354E,4168040,N
2014.1512E,4168049,N
2014-001524VAR,4168283,N
2006.1308E_5,4168546,N
2011.0038X,4168624,N
2014.1459E,4168855,N
1996.222E,4169200,N
2014.1459E,4169308,N
2012.0203B,4169360,N
2012.0203B,4169391,N
1996.547E,4169414,N
2013.0154E_3,4169417,N
2006.1308E_5,4169419,N
1996.547E,4169442,N
2014-002701OFA,4169491,N
2014-002701OFA,4169492,N
2014-002701OFA,4169495,N
2007.0456X,4169631,N
2014-002762VAR,4169757,N
2013.1354E,4170114,N
2006.0868E,4170343,N
2014.1512E,4170356,N
2006.0868E,4170544,N
2013.1354E,4170632,N
2014.1512E,4170636,N
2014-002762VAR,4170708,N
2014.1512E,4171002,N
2014.1512E,4171346,N
2006.0868E,4171488,N
2013.1354E,4171661,N
2014.1512E,4171669,N
2014.1512E,4171759,N
2014-002762VAR,4171815,N
2013.0154E_3,4172613,N
2012.0493E,4172615,N
2012.1197A,4172744,N
2006.0868E,4172877,N
2013.0154E_3,4172878,N
2013.1354E,4173104,N
2014.1512E,4173116,N
2014.1512E,4173249,N
2014-002762VAR,4173334,N
2012.1197A,4173421,N
2005.0911E_5,4173909,N
2012.0403W,4174216,N
2013.0154E_3,4174509,N
2013.0154E_3,4174510,N
2006.1308E_5,4174531,N
1996.547E,4174532,N
2007.0946E_14,4174533,N
2006.0868E,4174667,N
2013.0154E_3,4174668,N
2013.1354E,4174966,N
2014.1512E,4174978,N
2014.1512E,4175152,N
2014-002762VAR,4175262,N
2012.1197A,4175387,N
2006.0868E,4176057,N
2013.0154E_3,4176058,N
2013.1354E,4176360,N
2014.1512E,4176372,N
2014.1512E,4176550,N
2014-002762VAR,4176660,N
2012.1197A,4176785,N
2014.1512E,4177391,N
2012.0877CUA,4177510,N
2014-002701OFA,4177571,N
2008.0217C,4177620,N
2015-007387CUA,4177847,N
2013.0154E_3,4177888,N
2007.0946E_14,4177894,N
2012.0403W,4178016,N
2012.0403W,4178019,N
2006.0383E,4178202,N
2013.0113V,4178299,N
2014-002701OFA,4178483,N
2014.1017E,4178492,N
2012.0403W,4178768,N
2013.0113V,4178890,N
2014-002701OFA,4178916,N
2012.0403W,4178947,N
2014.1017E,4179001,N
2012.0877CUA,4179257,N
2012.0877CUA,4179258,N
2006.0383E,4179394,N
2014-002218CUA,4179401,N
2014.1017E,4179662,N
2014-002218CUA,4179727,N
2012.0403W,4179768,N
2013.0154E_3,4179828,N
1996.281E_11,4179829,N
2007.0946E_14,4179864,N
2006.0383E,4179916,N
2013.0113V,4179931,N
2012.0877CUA,4179950,N
2014-002701OFA,4180000,N
2012.0403W,4180064,N
2012.0403W,4180065,N
2014.1017E,4180186,N
2014-002218CUA,4180258,N
2014.1017E,4180322,N
1996.281E_11,4180418,N
2013.0154E_3,4180420,N
2014-002218CUA,4180886,N
2006.0383E,4181385,N
2013.0113V,4181405,N
2012.0877CUA,4181432,N
2014-002701OFA,4181509,N
2012.0403W,4181593,N
2014.1017E,4181731,N
2014-002218CUA,4181823,N
2014-002218CUA,4181824,N
2014.1017E,4181915,N
1996.281E_11,4182049,N
2013.0154E_3,4182051,N
2006.0383E,4182303,N
2013.0113V,4182323,N
2012.0877CUA,4182350,N
2014-002701OFA,4182422,N
2012.0403W,4182503,N
2014.1017E,4182634,N
2014-002218CUA,4182722,N
2014.1017E,4182808,N
1996.281E_11,4182936,N
2013.0154E_3,4182938,N
2012.0403W,4183923,N
2012.0403W,4183924,N
2012.0403W,4184137,N
2014.1512E,4184696,N
2012.0403W,4185029,N
2012.0403W,4185333,N
2012.0403W,4185334,N
2014.1512E,4185350,N
2005.0911E_5,4186031,N
2011.0312X,4186035,N
2012.0403W,4186206,N
2011.0586E,4186337,N
2012.0403W,4186397,N
2012.0403W,4186502,N
2011.0586E,4186578,N
2005.0911E_5,4186694,N
2012.0403W,4186762,N
2012.0403W,4186763,N
2011.0312X,4186778,N
2014.1512E,4186793,N
2012.0403W,4187876,N
2012.0403W,4188364,N
2011.0586E,4188464,N
2005.0911E_5,4188619,N
2012.0403W,4188702,N
2012.0403W,4188703,N
2011.0312X,4188730,N
2014.1512E,4188750,N
2014-002218CUA,4189803,N
2012.0403W,4190901,N
2012.0403W,4190902,N
2012.0403W,4190904,N
2004.1059E_3,4190922,N
2014.1512E,4192310,N
2014.1512E,4192740,N
2014.1512E,4194182,N
2015-012697CUA,4194833,N
2015-001191VAR,4195098,N
2014.1512E,4196033,N
2005.0679K,4197731,N
2006.0868E,4197764,N
2004.1059E_3,4197768,N
2004.1059E_3,4197769,N
2014.0679E,4197846,N
2014.0679E,4197848,N
2013.0154E_3,4197878,N
2005.0911E_5,4198564,N
2005.0911E_5,4198854,N
2005.0911E_5,4199832,N
2011.1388E,4200595,N
2013.0154E_3,4200596,N
2014.0679E,4200597,N
2013.0154E_3,4200600,N
2011.1388E,4200622,N
2013.1390E,4200678,N
2014-001589PTA,4200707,N
2006.0383E,4200727,N
2012.0403W,4200806,N
2011.1388E,4201073,N
2013.0154E_3,4201074,N
2013.1390E,4201075,N
2014.0679E,4201077,N
2005.0911E_5,4201185,N
2012.0403W,4201243,N
2014-001589PTA,4201446,N
2005.0911E_5,4202137,N
2007.0456E,4202262,N
2014.0679E,4202430,N
2013.0154E_3,4202437,N
2008.0217C,4202685,N
2007.0456E,4202835,N
2011.1388E,4202836,N
2013.0154E_3,4202837,N
2013.1390E,4202838,N
2014.0679E,4202841,N
2008.0217C,4202935,N
2005.0911E_5,4202988,N
2005.0911E_5,4202989,N
2012.0403W,4203055,N
2014-001589PTA,4203341,N
2015-007903CUA,4204177,N
2014.1186V,4204474,N
2014.1462E,4204599,N
2012.0403W,4204711,N
2012.0403W,4204712,N
2012.0203C,4204732,N
2013.0792C,4204763,N
2014-002701OFA,4204845,N
20093461CWP-02,4204870,N
2014.0679E,4205137,N
2005.0911E_5,4205225,N
2014.0679E,4205806,N
2005.0911E_5,4205840,N
2012.0978E_3,4206552,N
2005.0911E_5,4206648,N
2014.0679E,4206920,N
2005.0911E_5,4207002,N
2012.0978E_3,4207260,N
2005.0911E_5,4207318,N
2014-002701OFA,4207912,N
2014.1462E,4208152,N
2014.0679E,4208290,N
2005.0911E_5,4208400,N
2014-002701OFA,4208431,N
2014.1462E,4208648,N
2012.0978E_3,4208767,N
2005.0911E_5,4208852,N
2014.0679E,4209834,N
2005.0911E_5,4209958,N
2014-002701OFA,4209989,N
2014.1462E,4210245,N
2012.0978E_3,4210375,N
2005.0911E_5,4210464,N
2012.0506E,4211176,N
2012.0506E,4211688,N
2012.0506E,4212795,N
2012.0506E,4214298,N
2012.1553V,4214697,N
2012.0403W,4214916,N
2009.0634COA,4215031,N
2009.0634COA,4215032,N
2012.1553V,4215490,N
2012.0506E,4215875,N
2009.0634COA,4216147,N
2012.1553E,4216521,N
2012.1553E,4217057,N
2015-012697CUA,4217434,N
2015-012697CUA,4217435,N
2013.1757C,4217503,N
2014.0679E,4217701,N
2012.1553E,4218127,N
2014.0679E,4218526,N
2013.1757C,4218649,N
2012.1553E,4219649,N
2014.0679E,4220284,N
2013.1757C,4220467,N
2012.0403W,4220696,N
2013.1281E,4220701,N
2014.1462E,4220982,N
2012.0403W,4221230,N
2015-005140CUA,4221329,N
2012.1553E,4221670,N
2012.0403W,4221936,N
2013.1168E,4222115,N
2015-005140CUA,4222303,N
2014.0679E,4222467,N
2013.1757C,4222713,N
2011.0671E,4223028,N
2013.0154E_3,4223360,N
2008.0021E_11,4223373,N
2007.0946E_14,4223374,N
2007.0946E_14,4223379,N
2005.0679K,4223584,N
2009.0634COA,4223842,N
2009.0634COA,4223893,N
2014-002701OFA,4223906,N
2011.0671E,4224392,N
2012.1553E,4224407,N
2015-000509OFA,4224468,N
2012.0403W,4224759,N
2015-000509OFA,4224958,N
2012.0403W,4224976,N
2014.1462E,4225307,N
2014.1462E,4225308,N
2013.1168E,4225685,N
2012.0403W,4225880,N
2013.1757C,4225970,N
2015-000509OFA,4226113,N
2012.0403W,4226151,N
2012.0403W,4226152,N
2014.1462E,4226284,N
2013.1168E,4226510,N
2013.1757C,4226543,N
2012.0865E,4227199,N
2014.0679E,4227220,N
2012.0403W,4227278,N
2014.0679E,4227442,N
2015-000509OFA,4227536,N
2012.0403W,4227596,N
2012.0403W,4227597,N
2014.1462E,4227791,N
2013.1168E,4228116,N
2013.1757C,4228166,N
2014.0989E,4228355,N
2012.0403W,4228660,N
2012.0493E,4228780,N
2005.0679K,4228995,N
2013.0154E_3,4229092,N
2012.0493E,4229259,N
2014.0679E,4229263,N
2015-000509OFA,4229385,N
2005.0679K,4229460,N
2012.0403W,4229469,N
2012.0403W,4229470,N
2014.1462E,4229721,N
2013.0154E_3,4230130,N
2013.1168E,4230142,N
2013.1757C,4230207,N
2011.1355E,4230623,N
2011.0408E,4230625,N
2010.0515E,4230631,N
2007.0946E_14,4230672,N
2010.0515E,4230694,N
2011.1355E,4230695,N
2008.0021E_11,4230699,N
2007.0946E_14,4230700,N
2008.0021E_11,4230701,N
2011.1355E,4230815,N
2008.0021E_11,4230816,N
2013.1653C,4230824,N
2009.0634COA,4231026,N
2009.0634COA,4231027,N
2009.0412A,4231119,N
2010.0305E,4232093,N
2013.1213E,4232137,N
2012.0262E,4232148,N
2015-005727COA,4232183,N
2012.0262E,4232358,N
2015-005727COA,4232363,N
2013.1213E,4232404,N
2010.0305E,4232413,N
2015-002837CUA,4232700,N
2013.1213E,4232761,N
2012.0403W,4233123,N
2012.1445E,4233163,N
2012.0403W,4233473,N
2012.0262E,4233523,N
2015-005727COA,4233534,N
2012.1445E,4233596,N
2013.1213E,4233609,N
2013.1213E,4233610,N
2010.0305E,4233624,N
2013.1213E,4234529,N
2011.0408E,4234647,N
2012.0403W,4235144,N
2012.0262E,4235212,N
2015-005727COA,4235222,N
2012.1445E,4235321,N
2013.1213E,4235341,N
2013.1213E,4235342,N
2010.0305E,4235363,N
2011.0408E,4235364,N
2007.0946E_14,4236231,N
2013.0154E_3,4236232,N
2005.0161E_9,4236346,N
2008.0021E_11,4236387,N
2007.0946E_14,4236390,N
2012.1445E,4236500,N
2013.1213E,4236502,N
2011.0408E,4236525,N
2011.0408E,4236532,N
2008.0021E_11,4236884,N
2013.0973E,4237151,N
2013.0124E_3,4237353,N
2007.0946E_14,4237354,N
2012.1445E,4237355,N
2013.1213E,4237358,N
2013.1168E,4237394,N
2013.0124E_3,4237398,N
2013.0256E,4237449,N
2013.1213E,4237624,N
2012.0403W,4237735,N
2013.0124E_3,4237897,N
2013.0256E,4237898,N
2013.1168E,4237899,N
2012.0403W,4237982,N
2013.1213E,4238116,N
2015-002248VAR,4238276,N
2013.0124E_3,4238959,N
2013.0256E,4238960,N
2013.1168E,4238961,N
2015-002248VAR,4239040,N
2012.0403W,4239107,N
2013.1213E,4239341,N
2014-003213VAR,4239859,N
2014-003213VAR,4239860,N
2014-003270CUA,4239877,N
2005.0161E,4239929,N
2011.1388E,4239952,N
2012.1187E,4239971,N
2012.1187E,4239972,N
2012.1187E,4240261,N
2013.0124E_3,4240262,N
2013.0256E,4240263,N
2013.1168E,4240264,N
2015-002248VAR,4240373,N
2012.0403W,4240459,N
2013.1213E,4240791,N
2014-003270CUA,4240922,N
2014-003213VAR,4241006,N
2005.0161E,4241026,N
2005.0161E,4241158,N
2013.1653C,4241723,N
2013.1390E,4241861,N
2008.0021E_11,4241892,N
1996.281E,4241897,N
2011.1355E,4241899,N
2012.1187E,4242199,N
2013.0124E_3,4242200,N
2013.0256E,4242201,N
2013.1168E,4242202,N
2015-002248VAR,4242355,N
2012.0403W,4242479,N
2013.1213E,4242919,N
2014-003270CUA,4243109,N
2014-003213VAR,4243210,N
2005.0161E,4243235,N
2011.0408E,4243737,N
2009.0634COA,4243955,N
2014.1063E,4244238,N
2008.0021E_11,4244303,N
2007.0946E_14,4244305,N
2013.0973E,4245539,N
2014.0679E,4245541,N
2015-008510CUA,4245915,N
2015-008510CUA,4245917,N
2015-008510CUA,4245979,N
2013.0973E,4245996,N
2014.0679E,4245999,N
2011.0408E,4246651,N
2008.0021E_11,4246652,N
2007.0946E_14,4246663,N
2013.1690E,4246669,N
2007.0946E_14,4246671,N
2014-003270CUA,4247088,N
2015-008510CUA,4247277,N
2013.0973E,4247306,N
2014.0679E,4247309,N
2014-003270CUA,4247883,N
2015-008510CUA,4248807,N
2013.0973E,4248852,N
2014.0679E,4248857,N
2014-003270CUA,4249604,N
2012.0403W,4250143,N
2015-001076SHD,4250409,N
2015-001076SHD,4250410,N
2014.1063E,4250546,N
2011.0408E,4250733,N
2008.0021E_11,4254884,N
2008.0021E_11,4254887,N
2011.0408E,4254890,N
2011.1355E,4254891,N
2007.0903E_7,4254905,N
2008.0021E_11,4254907,N
2007.0946E_14,4254946,N
2011.0408E,4255265,N
2011.0408E,4255266,N
2012.0403W,4257210,N
2012.0403W,4257462,N
2012.0865E,4257593,N
2012.0403W,4257603,N
2014-000234VAR,4260562,N
2007.0903E_7,4260708,N
2008.0021E_11,4260747,N
2008.0021E_11,4260767,N
2013.1690E,4260774,N
2008.0021E_11,4260776,N
2013.1690E,4260778,N
2007.0946E_14,4260779,N
2014-000234VAR,4261444,N
2008.0021E_11,4261552,N
2013.1690E,4261553,N
2011.0408E,4262286,N
2011.0408E,4262289,N
2013.0485X,4262370,N
2014-000234VAR,4263328,N
2000.048E,4263349,N
2013.1168E,4263354,N
2006.0383E,4263355,N
2006.0383E,4263520,N
2013.1168E,4263521,N
2000.048E,4263586,N
2014-000234VAR,4263596,N
2013.1168E,4264227,N
2012.0865K,4264877,N
2015-006005VAR,4264929,N
2006.0383E,4265026,N
2006.0383E,4265201,N
2014.1408K,4265544,N
2013.1168E,4265598,N
2013.1168E,4265718,N
2008.0794C,4266166,N
2013.1168E,4266209,N
2013.1168E,4266212,N
2013.1168E,4266213,N
2006.0383E,4266372,N
2013.1168E,4266373,N
2014.1408K,4266429,N
2013.1168E,4266488,N
2008.0794C,4267167,N
2007.0456X,4267436,N
2007.0946E_14,4267858,N
2007.0946E_14,4267859,N
2007.0946E_14,4267860,N
2007.0946E_14,4267862,N
2013.1690E,4267909,N
2000.541E,4267913,N
2008.0021E_11,4267944,N
2011.0408E,4267945,N
2013.1690E,4267952,N
2013.1690E,4267953,N
2007.0946E_14,4267965,N
2013.1168E,4268731,N
2013.1168E,4268917,N
2014.1442CUA,4269486,N
2014.1442DNX,4269487,N
2012.0403W,4269581,N
