RecordID,REVIEW_TYPE,closedate
2005.1074E,Initial Study-Negative Declaration,10/1/2008
2005.0871E,Categorical Exemption-Certificate,5/9/2006
2005.1076E,Initial Study-Negative Declaration,7/7/2006
2005.1085E,Initial Study-Negative Declaration,3/3/2010
2005.1087E,Categorical Exemption-Certificate,12/1/2005
2005.1095E,Initial Study-Negative Declaration,4/16/2007
2005.1089E,Categorical Exemption-Certificate,12/15/2005
2005.0229E,Initial Study-Negative Declaration,6/26/2007
2005.1106E,Initial Study-Negative Declaration,4/15/2009
2005.1116E,Categorical Exemption-Certificate,12/9/2005
2005.0966E,Categorical Exemption-Certificate,1/12/2006
2005.0771E,Categorical Exemption-Certificate,1/11/2006
2005.0842E,Categorical Exemption-Certificate,4/10/2007
2005.1146E,Categorical Exemption-Certificate,12/13/2005
2005.0735E,Categorical Exemption-Certificate,3/21/2006
2005.1155E,Initial Study-Negative Declaration,1/22/2018
2005.0957E,Categorical Exemption-Stamp,3/8/2006
2005.1198E,Categorical Exemption-Certificate,9/27/2006
2005.1192E,Categorical Exemption-Certificate,9/6/2006
2005.1207E,Categorical Exemption-Certificate,2/9/2006
2006.0009E,Categorical Exemption-Certificate,1/10/2006
2006.0010E,Categorical Exemption-Certificate,2/28/2006
2005.0723E,Categorical Exemption-Certificate,12/15/2006
2006.0013E,Categorical Exemption-Certificate,3/17/2006
2006.0050E,Categorical Exemption-Certificate,9/8/2006
2006.0051E,Categorical Exemption-Certificate,4/3/2006
2006.0054E,Initial Study-Negative Declaration,1/3/2007
2006.0055E,Initial Study-Negative Declaration,12/12/2006
2006.0089E,Categorical Exemption-Certificate,1/27/2006
2005.1134E,Categorical Exemption-Certificate,5/31/2007
2005.1204E,Categorical Exemption-Certificate,8/3/2006
2006.0060E,Categorical Exemption-Certificate,3/13/2006
2012.0441E,Categorical Exemption-Stamp,3/3/2006
2012.0405E,Categorical Exemption-Stamp,1/20/2006
2006.0091E,Initial Study-Negative Declaration,10/24/2006
2006.0094E,Categorical Exemption-Certificate,1/8/2007
2006.0095E,Categorical Exemption-Certificate,9/26/2006
2005.0856E,Categorical Exemption-Certificate,2/22/2006
2006.0100E,Categorical Exemption-Certificate,3/29/2006
2006.0106E,Initial Study-Negative Declaration,6/15/2007
2006.0107E,Categorical Exemption-Certificate,2/15/2007
2005.0165E,Initial Study-Negative Declaration,4/4/2008
2005.1098E,Categorical Exemption-Certificate,7/25/2006
2006.0129E,Categorical Exemption-Certificate,8/4/2006
2006.0130E,Categorical Exemption-Certificate,6/19/2006
2006.0131E,Categorical Exemption-Certificate,11/17/2006
2006.0132E,Categorical Exemption-Certificate,3/28/2006
2006.0134E,Categorical Exemption-Certificate,3/10/2006
2006.0137E,Initial Study-Negative Declaration,8/3/2007
2006.0367E,Categorical Exemption-Certificate,5/3/2006
2006.0203E,Initial Study-Negative Declaration,1/28/2008
2006.0210E,Categorical Exemption-Certificate,8/22/2006
2006.0211E,Categorical Exemption-Stamp,9/13/2006
2006.0213E,Categorical Exemption-Certificate,6/3/2006
2006.0144E,Initial Study-Negative Declaration,9/15/2007
2006.0241E,Initial Study-Negative Declaration,10/27/2006
2004.1341E_3,Categorical Exemption-Certificate,3/28/2006
2006.0242E,Categorical Exemption-Certificate,3/24/2006
2006.0317E,Categorical Exemption-Stamp,9/3/2006
2005.1084E,Categorical Exemption-Stamp,3/1/2006
2005.0776E,Categorical Exemption-Certificate,6/16/2006
2005.0875E,Categorical Exemption-Certificate,7/6/2006
2006.0369E,Categorical Exemption-Certificate,4/28/2006
2012.0440E,Categorical Exemption-Stamp,3/14/2012
2006.0339E,Categorical Exemption-Certificate,5/6/2009
2006.0340E,Categorical Exemption-Certificate,9/12/2006
2006.0342E,Initial Study-Negative Declaration,6/24/2005
2006.0343E,Initial Study-Negative Declaration,7/6/2005
2006.0344E,Initial Study-Negative Declaration,7/21/2005
2006.0345E,Initial Study-Negative Declaration,8/4/2005
2006.0346E,Initial Study-Negative Declaration,8/12/2005
2006.0347E,Initial Study-Negative Declaration,9/19/2005
2006.0374E,Initial Study-Negative Declaration,4/5/2007
2006.0404E,Categorical Exemption-Certificate,11/17/2006
2012.0438E,Categorical Exemption-Stamp,3/31/2006
2012.0439E,Categorical Exemption-Stamp,3/29/2006
2005.0178E,Categorical Exemption-Certificate,7/26/2006
2005.1128E,Categorical Exemption-Certificate,5/16/2006
2006.0362E,Categorical Exemption-Certificate,6/28/2006
2006.0422E,Initial Study-Negative Declaration,2/10/2009
2006.0423E,Categorical Exemption-Certificate,6/20/2006
2006.0424E,Categorical Exemption-Certificate,3/31/2006
2012.0434E,Categorical Exemption-Stamp,4/19/2006
2006.0426E,Categorical Exemption-Certificate,1/11/2007
2006.0428E,Initial Study-Negative Declaration,8/11/2010
2006.0430E,Initial Study-Negative Declaration,11/16/2006
2006.0431E,Initial Study-Negative Declaration,5/28/2009
2005.1030E,Categorical Exemption-Certificate,11/21/2007
2006.0388E,Categorical Exemption-Certificate,8/3/2006
2006.0445E,Initial Study-Negative Declaration,11/6/2006
2012.0436E,Categorical Exemption-Stamp,4/20/2006
2006.0455E,Categorical Exemption-Certificate,6/6/2006
2006.0457E,Categorical Exemption-Certificate,6/8/2006
2012.0428E,Categorical Exemption-Stamp,6/6/2006
2005.0817E,Categorical Exemption-Certificate,8/1/2006
2006.0459E,Categorical Exemption-Stamp,8/16/2006
2006.0460E,Initial Study-Negative Declaration,10/1/2008
2006.0462E,Categorical Exemption-Certificate,6/14/2006
2006.0465E,Categorical Exemption-Certificate,5/8/2006
2012.0437E,Categorical Exemption-Stamp,4/28/2006
1999.173E_3,Categorical Exemption-Certificate,11/29/2006
2006.0473E,Categorical Exemption-Certificate,3/1/2007
2006.0474E,Categorical Exemption-Certificate,4/11/2006
2006.0476E,Categorical Exemption-Certificate,7/6/2006
2006.0479E,Categorical Exemption-Certificate,4/28/2006
2006.0109E,Categorical Exemption-Certificate,5/3/2006
2006.0496E,Categorical Exemption-Certificate,4/28/2006
2004.0072E,Categorical Exemption-Certificate,1/12/2007
2005.0725E,Categorical Exemption-Certificate,4/16/2007
2006.0145E,Categorical Exemption-Stamp,4/21/2006
2006.0056E,Categorical Exemption-Certificate,6/21/2007
2006.0536E,Initial Study-Negative Declaration,10/7/2010
2006.0539E,Initial Study-Negative Declaration,2/22/2006
2006.0540E,Initial Study-Negative Declaration,2/22/2006
2006.0541E,Categorical Exemption-Certificate,4/28/2006
2006.0543E,Categorical Exemption-Certificate,4/28/2006
2006.0544E,Categorical Exemption-Certificate,4/28/2006
2005.0056E,Categorical Exemption-Certificate,5/31/2006
2006.0572E,Categorical Exemption-Certificate,6/21/2007
2006.0576E,Categorical Exemption-Certificate,6/8/2006
2006.0580E,Categorical Exemption-Certificate,8/22/2006
2006.0590E,Categorical Exemption-Certificate,8/15/2006
2006.0591E,Categorical Exemption-Stamp,5/4/2006
2012.0429E,Categorical Exemption-Stamp,5/24/2006
2012.0430E,Categorical Exemption-Stamp,5/24/2006
2006.0373E,Categorical Exemption-Certificate,3/10/2006
2006.0602E,Initial Study-Negative Declaration,5/12/2006
2006.0604E,Categorical Exemption-Certificate,5/12/2006
2006.0607E,Categorical Exemption-Certificate,5/12/2006
2006.0608E,Initial Study-Negative Declaration,2/28/2008
2006.0617E,Categorical Exemption-Certificate,7/27/2006
2012.0425E,Categorical Exemption-Stamp,6/9/2006
2005.0952E,Categorical Exemption-Certificate,10/12/2007
2006.0799E,Categorical Exemption-Certificate,11/14/2007
2006.0616E,Categorical Exemption-Certificate,12/28/2006
2006.0660E,Categorical Exemption-Class 32,1/9/2008
2006.0495E,Categorical Exemption-Certificate,8/23/2006
2006.0336E,Categorical Exemption-Class 32,6/21/2006
2006.0785E,Categorical Exemption-Stamp,7/24/2006
2006.0751E,Categorical Exemption-Certificate,8/22/2006
2012.0408E,Categorical Exemption-Stamp,5/24/2006
2006.0674E,Categorical Exemption-Class 32,6/19/2006
2006.0704E,Categorical Exemption-Stamp,6/1/2006
2012.0431E,Categorical Exemption-Stamp,5/12/2012
2006.0680E,Initial Study-Negative Declaration,10/13/2007
2006.0752E,Categorical Exemption-Certificate,6/28/2006
2006.0675E,Categorical Exemption-Certificate,5/31/2006
2006.0689E,Categorical Exemption-Certificate,1/23/2007
2006.0690E,Categorical Exemption-Certificate,6/9/2006
2006.0694E,Categorical Exemption-Stamp,6/2/2006
2006.0717E,Categorical Exemption-Stamp,6/21/2006
2012.0421E,Categorical Exemption-Stamp,6/22/2006
2006.0676E,Initial Study-Negative Declaration,10/18/2006
2006.0743E,Categorical Exemption-Stamp,6/15/2006
2006.0744E,Categorical Exemption-Stamp,6/15/2006
2006.0748E,Categorical Exemption-Certificate,6/15/2006
2006.0750E,Categorical Exemption-Certificate,1/23/2007
2012.0417E,Categorical Exemption-Stamp,7/17/2006
2002.0133E_3,Initial Study-Negative Declaration,11/30/2007
2006.0766E,Categorical Exemption-Certificate,12/6/2006
2006.0776E,Initial Study-Negative Declaration,7/21/2006
2006.0427E,Categorical Exemption-Class 32,7/29/2009
2006.0781E,Categorical Exemption-Certificate,6/22/2006
2006.0782E,Categorical Exemption-Certificate,6/22/2006
2006.0784E,Categorical Exemption-Certificate,4/25/2007
2012.0420E,Categorical Exemption-Stamp,6/23/2006
2006.0786E,Categorical Exemption-Certificate,9/20/2006
2006.0787E,Categorical Exemption-Certificate,8/3/2006
2006.0788E,Categorical Exemption-Certificate,5/22/2007
2006.0789E,Categorical Exemption-Certificate,9/26/2006
2006.0796E,Categorical Exemption-Certificate,6/15/2007
2012.0418E,Categorical Exemption-Stamp,6/28/2006
2006.0810E,Initial Study-Negative Declaration,9/21/2007
2006.0826E,Initial Study-Negative Declaration,5/1/2007
2006.0827E,Categorical Exemption-Certificate,1/29/2008
2006.0828E,Categorical Exemption-Certificate,4/26/2007
2006.0875E,Categorical Exemption-Stamp,9/21/2006
2006.0848E,Initial Study-Negative Declaration,7/14/2010
2006.0695E,Categorical Exemption-Certificate,12/14/2006
2006.0856E,Categorical Exemption-Certificate,3/7/2007
2006.0857E,Categorical Exemption-Stamp,7/26/2006
2006.0858E,Categorical Exemption-Certificate,12/21/2006
2012.0415E,Categorical Exemption-Stamp,8/17/2006
2006.0868E,Initial Study-Negative Declaration,3/8/2008
2012.0416E,Categorical Exemption-Stamp,7/21/2006
2006.0869E,Initial Study-Negative Declaration,9/7/2006
2006.0881E,Initial Study-Negative Declaration,11/10/2007
2006.0885E,Initial Study-Negative Declaration,9/7/2006
2006.0841E,Categorical Exemption-Certificate,10/18/2006
2006.0865E,Categorical Exemption-Certificate,10/25/2006
2006.0891E,Categorical Exemption-Certificate,8/1/2006
2006.0904E,Categorical Exemption-Certificate,1/16/2007
2006.0851E,Initial Study-Negative Declaration,1/27/2007
2006.0538E,Categorical Exemption-Certificate,5/22/2007
2006.0895E,Categorical Exemption-Certificate,9/22/2006
2006.0929E,Categorical Exemption-Certificate,11/1/2006
2006.0434E_3,Initial Study-Negative Declaration,10/25/2006
2006.0921E,Initial Study-Negative Declaration,9/13/2007
2006.0941E,Initial Study-Negative Declaration,9/29/2007
2012.0412E,Categorical Exemption-Stamp,8/17/2006
2012.0414E,Categorical Exemption-Stamp,8/17/2006
2006.0958E,Categorical Exemption-Certificate,11/5/2009
2006.0959E,Categorical Exemption-Stamp,8/22/2006
2005.0844E,Categorical Exemption-Certificate,5/16/2007
2005.0962E,Categorical Exemption-Certificate,10/19/2006
2006.0966E,Categorical Exemption-Stamp,8/22/2006
2006.0974E,Categorical Exemption-Class 32,8/11/2009
2006.0993E,Categorical Exemption-Certificate,8/30/2006
2004.0726E,Categorical Exemption-Certificate,7/11/2007
2006.0248E,Categorical Exemption-Certificate,8/16/2007
2006.0997E,Categorical Exemption-Certificate,10/11/2006
2006.0825E,Categorical Exemption-Certificate,8/5/2009
2006.1001E,Initial Study-Negative Declaration,7/24/2007
2006.1014E,Categorical Exemption-Certificate,6/1/2007
1999.073E,Categorical Exemption-Stamp,8/28/2006
2006.1080E,Categorical Exemption-Certificate,3/13/2007
2004.1005E_3,Categorical Exemption-Certificate,5/9/2007
2006.0288E,Categorical Exemption-Certificate,9/11/2006
2006.0965E,Categorical Exemption-Certificate,7/11/2007
2006.1055E,Categorical Exemption-Certificate,5/9/2007
2006.1063E,Categorical Exemption-Certificate,1/11/2007
2006.1064E,Categorical Exemption-Certificate,11/6/2007
2006.1065E,Categorical Exemption-Certificate,5/2/2008
2006.1067E,Categorical Exemption-Certificate,3/30/2007
2006.1069E,Categorical Exemption-Certificate,1/28/2008
2006.1070E,Categorical Exemption-Certificate,2/11/2008
2006.1072E,Categorical Exemption-Stamp,1/25/2007
2006.1074E,Categorical Exemption-Certificate,10/1/2007
2006.1075E,Categorical Exemption-Certificate,8/14/2007
2006.1076E,Categorical Exemption-Certificate,8/2/2007
2006.1078E,Categorical Exemption-Certificate,8/4/2010
2006.1079E,Initial Study-Negative Declaration,6/14/2007
2006.1102E,Categorical Exemption-Certificate,2/6/2009
2012.0411E,Categorical Exemption-Stamp,8/31/2006
2006.1073E,Initial Study-Negative Declaration,1/28/2009
2006.1123E,Categorical Exemption-Stamp,9/18/2006
2006.1052E,Categorical Exemption-Stamp,9/7/2006
2006.1089E,Categorical Exemption-Stamp,9/7/2006
2012.0410E,Categorical Exemption-Stamp,9/11/2006
2006.0441E_3,Initial Study-Negative Declaration,1/3/2007
2006.1060E,Initial Study-Negative Declaration,8/16/2007
2006.1199E,Categorical Exemption-Stamp,9/26/2006
2006.1202E,Initial Study-Negative Declaration,10/16/2012
2006.0851E_3,Initial Study-Negative Declaration,1/27/2007
2006.1213E,Initial Study-Negative Declaration,8/13/2008
2006.1214E,Categorical Exemption-Stamp,10/4/2006
2006.1221E,Categorical Exemption-Stamp,10/3/2006
2006.1222E,Categorical Exemption-Stamp,10/4/2006
2006.1253E,Categorical Exemption-Certificate,8/9/2007
2004.0773E_3,Environmental Impact Report,1/27/2007
2006.1226E,Categorical Exemption-Stamp,10/5/2006
2006.0134E_3,Categorical Exemption-Certificate,1/2/2007
2006.1227E,Initial Study-Negative Declaration,7/31/2007
2003.0527E_3,Environmental Impact Report,3/2/2009
2006.1249E,Categorical Exemption-Stamp,10/11/2006
2006.0780E,Categorical Exemption-Certificate,2/23/2007
2007.0290E,Categorical Exemption-Stamp,3/22/2007
2006.1270E,Categorical Exemption-Stamp,10/18/2006
2006.1275E,Categorical Exemption-Certificate,1/12/2007
2006.1250E,Categorical Exemption-Stamp,10/18/2006
2006.1283E,Categorical Exemption-Stamp,10/23/2006
2006.1284E,Categorical Exemption-Stamp,10/27/2006
2006.1294E,Initial Study-Negative Declaration,9/12/2008
2006.1300E,Categorical Exemption-Certificate,2/25/2008
2006.1302E,Categorical Exemption-Certificate,2/1/2007
2006.1303E,Categorical Exemption-Certificate,6/11/2007
2006.1304E,Initial Study-Negative Declaration,8/6/2008
2006.1312E,Categorical Exemption-Stamp,10/31/2006
2006.1314E,Initial Study-Negative Declaration,5/2/2008
2006.1374E,Categorical Exemption-Certificate,7/20/2007
2006.1338E,Categorical Exemption-Stamp,11/8/2006
2006.1356E,Categorical Exemption-Certificate,3/29/2007
2006.1348E,Initial Study-Negative Declaration,9/17/2009
2006.1154E,Categorical Exemption-Certificate,8/30/2012
2006.1376E,Categorical Exemption-Certificate,7/20/2007
2006.1287E,Categorical Exemption-Certificate,2/23/2007
2006.1373E,Categorical Exemption-Stamp,11/14/2006
2004.0557E_3,Environmental Impact Report,2/11/2005
2006.1380E,Categorical Exemption-Certificate,6/28/2007
2006.1385E,Categorical Exemption-Stamp,11/17/2006
2006.1388E,Initial Study-Negative Declaration,3/29/2008
2006.1398E,Categorical Exemption-Stamp,12/1/2006
2006.1399E,Categorical Exemption-Stamp,12/1/2006
2006.1400E,Categorical Exemption-Stamp,12/1/2006
2006.1402E,Categorical Exemption-Stamp,12/1/2006
2006.1403E,Categorical Exemption-Stamp,12/1/2006
2006.1404E,Categorical Exemption-Stamp,12/1/2006
2006.1405E,Categorical Exemption-Stamp,12/1/2006
2006.1409E,Initial Study-Negative Declaration,9/17/2008
2006.1412E,Initial Study-Negative Declaration,11/27/2007
2006.1416E,Categorical Exemption-Stamp,12/1/2006
2006.0934E,Categorical Exemption-Stamp,11/30/2006
2006.1419E,Categorical Exemption-Certificate,6/21/2007
2006.1422E,Categorical Exemption-Certificate,1/14/2008
2005.0651E,Categorical Exemption-Certificate,8/13/2008
2006.1428E,Categorical Exemption-Certificate,12/10/2007
2006.1454E,Categorical Exemption-Certificate,4/10/2007
2006.1460E,Categorical Exemption-Certificate,1/30/2008
2006.1461E,Categorical Exemption-Stamp,12/1/2006
2006.1462E,Categorical Exemption-Stamp,12/1/2006
2012.0407E,Categorical Exemption-Stamp,12/1/2006
2006.1203E,Categorical Exemption-Stamp,1/5/2007
2006.1463E,Categorical Exemption-Stamp,12/4/2006
2006.1472E,Categorical Exemption-Stamp,1/26/2007
2006.1522E,Categorical Exemption-Stamp,1/31/2007
2006.1535E,Categorical Exemption-Certificate,12/28/2006
2006.1510E,Categorical Exemption-Stamp,2/16/2007
2006.1090E,Categorical Exemption-Stamp,1/8/2006
2006.1513E,Categorical Exemption-Stamp,12/19/2006
2006.1523E,Initial Study-Negative Declaration,5/3/2016
2006.1524E,Initial Study-Negative Declaration,6/2/2010
2006.1525E,Initial Study-Negative Declaration,10/15/2007
2006.1526E,Categorical Exemption-Stamp,12/21/2006
2006.1527E,Categorical Exemption-Stamp,2/8/2007
2006.1532E,Categorical Exemption-Certificate,11/27/2007
2006.1533E,Categorical Exemption-Stamp,1/5/2007
2007.0007E,Initial Study-Negative Declaration,6/17/2009
2007.0299E,Categorical Exemption-Stamp,3/29/2007
2006.0302E,Categorical Exemption-Stamp,1/19/2007
2006.1360E,Categorical Exemption-Stamp,1/4/2007
2007.0024E,Categorical Exemption-Certificate,11/21/2007
2007.0025E,Categorical Exemption-Stamp,11/21/2007
2007.0026E,Categorical Exemption-Stamp,11/21/2007
2007.0034E,Categorical Exemption-Stamp,1/4/2007
2007.0045E,Categorical Exemption-Certificate,2/14/2008
2007.0039E,Initial Study-Negative Declaration,10/5/2007
2007.0040E,Categorical Exemption-Certificate,5/25/2007
2002.1302E_3,Environmental Impact Report,4/7/2007
2007.0046E,Categorical Exemption-Stamp,1/10/2007
2005.1062E_3,Categorical Exemption-Certificate,3/8/2007
2006.1431E_3,Initial Study-Negative Declaration,9/15/2009
2006.0863E,Categorical Exemption-Stamp,1/12/2007
2007.0056E,Categorical Exemption-Certificate,1/30/2008
1998.834E_3,Negative Declaration Addendum,4/25/2007
2007.0061E,Categorical Exemption-Stamp,2/1/2007
2007.0081E,Categorical Exemption-Class 32,5/22/2008
2007.0072E,Categorical Exemption-Stamp,1/18/2007
2007.0100E,Categorical Exemption-Stamp,1/24/2007
2007.0078E,Categorical Exemption-Stamp,1/19/2007
2006.0741E,Categorical Exemption-Stamp,1/26/2007
2007.0109E,Categorical Exemption-Stamp,2/12/2007
2007.0175E,Categorical Exemption-Stamp,2/12/2007
2007.0192E,Categorical Exemption-Stamp,2/12/2007
2007.0193E,Categorical Exemption-Stamp,3/7/2007
2007.0104E,Categorical Exemption-Stamp,1/26/2007
2007.0105E,Categorical Exemption-Stamp,2/26/2007
2007.0123E,Categorical Exemption-Certificate,9/21/2007
2006.0339E_3,Initial Study-Negative Declaration,5/6/2009
2006.1267E,Categorical Exemption-Stamp,1/30/2007
2007.0113E,Initial Study-Negative Declaration,1/13/2009
2007.0115E,Categorical Exemption-Stamp,2/7/2007
2007.0194E,Categorical Exemption-Stamp,2/12/2007
2007.0116E,Categorical Exemption-Stamp,1/31/2007
2007.0117E,Initial Study-Negative Declaration,8/31/2007
2007.0118E,Initial Study-Negative Declaration,6/29/2009
2007.0097E,Categorical Exemption-Certificate,5/9/2007
2007.0127E,Categorical Exemption-Stamp,2/16/2007
2007.0128E,Initial Study-Negative Declaration,3/8/2008
2007.0331E,Categorical Exemption-Stamp,2/13/2007
2007.0137E,Categorical Exemption-Stamp,2/8/2007
2006.1488E,Categorical Exemption-Stamp,2/12/2007
2007.0168E,Initial Study-Negative Declaration,5/27/2008
2007.0169E,Categorical Exemption-Stamp,3/8/2007
2007.0170E,Categorical Exemption-Stamp,2/14/2007
2007.0174E,Categorical Exemption-Stamp,2/16/2007
2007.0172E,Categorical Exemption-Certificate,9/20/2007
2007.0178E,Categorical Exemption-Class 32,10/2/2007
2007.0179E,Categorical Exemption-Certificate,11/21/2007
2007.0180E,Categorical Exemption-Certificate,1/8/2009
2007.0182E,Categorical Exemption-Stamp,2/27/2007
2007.0183E,Categorical Exemption-Stamp,2/27/2007
2007.0201E,Categorical Exemption-Stamp,9/26/2008
2007.0054E,Categorical Exemption-Certificate,9/21/2007
2007.0165E,Categorical Exemption-Certificate,8/1/2007
2007.0206E,Initial Study-Negative Declaration,5/17/2008
2006.1313E,Categorical Exemption-Stamp,3/5/2007
2007.0211E,Initial Study-Negative Declaration,12/16/2009
2007.0281E,Categorical Exemption-Stamp,3/2/2007
2006.0819E,Categorical Exemption-Certificate,8/30/2007
2007.0219E,Categorical Exemption-Certificate,7/17/2007
2007.0220E,Categorical Exemption-Stamp,3/6/2007
2007.0221E,Categorical Exemption-Stamp,3/6/2007
2007.0315E,Categorical Exemption-Certificate,9/17/2007
2007.0245E,Categorical Exemption-Stamp,3/7/2007
2007.0250E,Categorical Exemption-Stamp,3/12/2007
2007.0251E,Categorical Exemption-Stamp,3/20/2007
2007.0294E,Categorical Exemption-Stamp,4/11/2007
2007.0313E,Categorical Exemption-Certificate,8/9/2007
2007.0314E,Categorical Exemption-Stamp,10/19/2007
2007.0287E,Categorical Exemption-Stamp,3/22/2007
2007.0332E,Categorical Exemption-Stamp,4/11/2007
2006.0665E,Categorical Exemption-Stamp,3/22/2007
2007.0292E,Categorical Exemption-Stamp,3/22/2007
2007.0295E,Categorical Exemption-Stamp,3/29/2007
2007.0296E,Categorical Exemption-Stamp,3/29/2007
2007.0310E,Categorical Exemption-Stamp,4/24/2009
2007.0302E,Categorical Exemption-Certificate,5/28/2009
2007.0311E,Categorical Exemption-Stamp,3/30/2007
