REC_NUM,EXPIRATION_DATE,EXPIRATION_STATUS,B1_PER_CATEGORY,APPLICATION_NAME,OPENED_DATE,RECORD_STATUS
2019-020463STR,1/31/2019,Pending,STR,4153 23rd Street,5/2/2019,Accepted
2019-020464STR,1/31/2019,Pending,STR,45 Bartlett St Unit 205,9/26/2019,Accepted
2019-020467STR,1/31/2019,Pending,STR,849 Mason St unit 1,8/6/2019,Accepted
2019-020469STR,1/31/2019,Pending,STR,2735 Hyde Street,4/9/2019,Accepted
2019-020470STR,1/31/2019,Pending,STR,456 South Van Ness Ave,1/29/2019,Accepted
2019-020474STR,1/31/2019,Pending,STR,118 Broderick Street Unit A,7/3/2019,Accepted
2019-023296STR,1/31/2019,Pending,STR,855 Brannan Street Unit 672,11/7/2019,Under Review
2019-023299STR,1/31/2019,Pending,STR,2195 42nd Avenue,10/29/2019,Under Review
2019-023309STR,1/31/2019,Pending,STR,1918 Pine Street,11/14/2019,Under Review
2019-023310STR,1/31/2019,Pending,STR,34 Rico Way,11/5/2019,Under Review
2019-023312STR,1/31/2019,Pending,STR,1916 Broderick Street B,10/27/2019,Under Review
2019-023318STR,1/31/2019,Pending,STR,239 8th Street Apt 5,10/29/2019,Under Review
2019-023321STR,1/31/2019,Pending,STR,408 Rivera Street,10/28/2019,Under Review
2019-023331STR,1/31/2019,Pending,STR,222 El Camino Del Mar,11/12/2019,Under Review
2019-023332STR,1/31/2019,Pending,STR,2965 24th Avenue,10/24/2019,Under Review
2019-023334STR,1/31/2019,Pending,STR,945 Haight Street,11/9/2019,Under Review
2019-020416STR,1/31/2019,Pending,STR,24 carmel st,8/5/2019,Accepted
2019-020417STR,1/31/2019,Pending,STR,1464 Grove Street Unit 302,7/1/2019,Accepted
2019-020418STR,1/31/2019,Pending,STR,"2 Fair Oaks Street, 3",6/18/2019,Accepted
2019-020421STR,1/31/2019,Pending,STR,806 47th ave,8/20/2019,Accepted
2019-020423STR,1/31/2019,Pending,STR,165 Serrano Drive,7/16/2019,Accepted
2019-020425STR,1/31/2019,Pending,STR,754 Moultrie St. ,9/19/2019,Accepted
2019-020426STR,1/31/2019,Pending,STR,2671 22nd street,7/8/2019,Accepted
2019-020427STR,1/31/2019,Pending,STR,36 mirabel avenue,5/30/2019,Accepted
2019-020428STR,1/31/2019,Pending,STR,2250 Mason Street,3/6/2019,Accepted
2019-020429STR,1/31/2019,Pending,STR,1371 34th Avenue,2/14/2019,Accepted
2019-020431STR,1/31/2019,Pending,STR,24 Casa Way,8/1/2019,Accepted
2019-020432STR,1/31/2019,Pending,STR,3004 18th Street,6/9/2019,Accepted
2019-020440STR,1/31/2019,Pending,STR,2386 15th Street,8/6/2019,Under Review
2019-020442STR,1/31/2019,Pending,STR,35 Hallam St.,8/7/2019,Accepted
2019-020444STR,1/31/2019,Pending,STR,677 Page Street,6/20/2019,Accepted
2019-020445STR,1/31/2019,Pending,STR,"532 Cambridge St,94134",9/10/2019,Accepted
2019-020447STR,1/31/2019,Pending,STR,1221 Bosworth St,8/7/2019,Accepted
2019-020451STR,1/31/2019,Pending,STR,2571 37th Avenue,9/24/2019,Accepted
2019-020452STR,1/31/2019,Pending,STR,716 41st ave,9/19/2019,Accepted
2019-020455STR,1/31/2019,Pending,STR,47 Stoneyford Ave,8/27/2019,Accepted
2019-023269STR,1/31/2019,Pending,STR,60 Dearborn Street Unit 1,11/12/2019,Accepted
2019-023275STR,1/31/2019,Pending,STR,74 Crane Street,11/6/2019,Accepted
2019-023279STR,1/31/2019,Pending,STR,1862 36th Ave,10/28/2019,Accepted
2019-023280STR,1/31/2019,Pending,STR,2975 Harrison Street,12/7/2019,Accepted
2019-023281STR,1/31/2019,Pending,STR,3744 Geary Boulevard,11/4/2019,Accepted
2019-023282STR,1/31/2019,Pending,STR,172 A Connecticut St ,11/29/2019,Accepted
2019-023283STR,1/31/2019,Pending,STR,470 BAYVIEW CIR,11/3/2019,Accepted
2019-019013STR,1/31/2019,Pending,STR,2007 Golden Gate Avenue,6/8/2018,Under Review
2019-019015STR,1/31/2019,Pending,STR,223 29th Street Unit A,2/20/2019,Under Review
2019-019037STR,1/31/2019,Pending,STR,1654 Great Highway,1/4/2018,Under Review
2019-019038STR,1/31/2019,Pending,STR,1346 Stevenson Street Unit B302,10/26/2018,On Hold
2019-019172STR,1/31/2019,Pending,STR,380 14th Street Unit 407,4/14/2018,Under Review
2019-019175STR,1/31/2019,Pending,STR,720 Treat Avenue,2/23/2019,Under Review
2019-019186STR,1/31/2019,Pending,STR,855 Brannan Street,2/22/2019,Under Review
2019-020457STR,1/31/2019,Pending,STR,"2027 Fillmore St., Apt 1",10/1/2019,Accepted
2019-020459STR,1/31/2019,Pending,STR,238 Urbano Drive,9/20/2019,Accepted
2019-023149STR,1/31/2019,Pending,STR,2634 15th Avenue,12/18/2019,Pending Review
2019-023292STR,1/31/2019,Pending,STR,901 Bush Street 506,11/2/2019,Under Review
2019-023353STR,1/31/2019,Pending,STR,833 Fillmore Street,11/13/2019,Under Review
2019-020356STR,1/31/2019,Pending,STR,1736 Grove Street,5/7/2019,Accepted
2019-020361STR,1/31/2019,Pending,STR,229 CORBETT AVE ,9/26/2019,Accepted
2019-018838STR,1/31/2019,Pending,STR,855 Brannan Street Unit 438,1/2/2019,Under Review
2019-018888STR,1/31/2019,Pending,STR,574 Castro Street,3/21/2019,Under Review
2019-018889STR,1/31/2019,Pending,STR,10 Laguna Street,1/23/2019,Under Review
2019-018891STR,1/31/2019,Pending,STR,39 Broderick Street,11/20/2018,Under Review
2019-018894STR,1/31/2019,Pending,STR,3033 Castro Street,2/23/2019,Under Review
2019-018952STR,1/31/2019,Pending,STR,1001 Pine Street Unit 503,5/29/2019,Under Review
2019-018478STR,1/31/2019,Pending,STR,3862 23rd Street,9/14/2018,Under Review
2019-018491STR,1/31/2019,Pending,STR,589 Francisco Street,8/23/2018,Under Review
2019-018492STR,1/31/2019,Pending,STR,531 Kansas Street,6/9/2019,Under Review
2019-020712STR,1/31/2019,Pending,STR,"412 Capp Street, Unit A",11/1/2019,Accepted
2019-019497STR,1/31/2019,Pending,STR,"2140 Bush, Unit 2",10/16/2019,Open
2019-022819STR,1/31/2019,Pending,STR,1966 29th Avenue,12/12/2019,Open
2019-022919STR,1/31/2019,Pending,STR,104 3rd Avenue,12/13/2019,Accepted
2019-018592STR,1/31/2019,Pending,STR,3863 19th Street,4/24/2019,Under Review
2019-018604STR,1/31/2019,Pending,STR,1800 Octavia Street,4/23/2019,Under Review
2019-018623STR,1/31/2019,Pending,STR,1840 Washington Street Unit 204,4/10/2019,Under Review
2019-018632STR,1/31/2019,Pending,STR,1481 9th Avenue,6/15/2019,Under Review
2019-018633STR,1/31/2019,Pending,STR,425 14th Street Unit 5,1/13/2019,Under Review
2019-018634STR,1/31/2019,Pending,STR,1412 Jackson Street,8/19/2018,Under Review
2019-021243STR,1/31/2019,Pending,STR,570 Greenwich St,11/13/2019,Accepted
2019-020067STR,1/31/2019,Pending,STR,"1 Saint Francis Pl, Unit 3907",10/25/2019,Accepted
2019-018654STR,1/31/2019,Pending,STR,1858 10th Avenue,1/8/2019,Under Review
2019-018661STR,1/31/2019,Pending,STR,3557 17th Street,6/19/2018,Under Review
2019-019000STR,1/31/2019,Pending,STR,1701 Franklin Street,9/27/2018,Under Review
2019-020413STR,1/31/2019,Pending,STR,582 22nd Avenue,8/2/2019,Under Review
2019-020280STR,1/31/2019,Pending,STR,1643 Lake Street,6/27/2019,Accepted
2019-020281STR,1/31/2019,Pending,STR,128 Britton Street,7/23/2019,Accepted
2019-020285STR,1/31/2019,Pending,STR,278 2nd Avenue,3/2/2019,Accepted
2019-020286STR,1/31/2019,Pending,STR,1251 Egbert Avenue,3/4/2019,Accepted
2019-020290STR,1/31/2019,Pending,STR,1120 Lake Street,8/13/2019,Accepted
2019-020291STR,1/31/2019,Pending,STR,722 Hampshire St.,8/7/2019,Accepted
2019-020292STR,1/31/2019,Pending,STR,155 Harriet Street Unit 8,3/4/2019,Accepted
2019-020296STR,1/31/2019,Pending,STR,"1051 Florida St,",9/19/2019,Accepted
2019-020297STR,1/31/2019,Pending,STR,23 Robinson Dr.,9/27/2019,Accepted
2019-020298STR,1/31/2019,Pending,STR,2407 Harrison Street Unit 3,7/6/2019,Accepted
2019-018834STR,1/31/2019,Pending,STR,1643 44th Avenue,5/12/2018,Under Review
2019-018130STR,1/31/2019,Pending,STR,3833 20th street,8/28/2018,Accepted
2019-018192STR,1/31/2019,Pending,STR,3514 26th Street Unit 2,5/18/2018,Accepted
2019-018193STR,1/31/2019,Pending,STR,4600 18TH STREET,8/23/2018,Accepted
2019-018194STR,1/31/2019,Pending,STR,855 Brannan Street Unit 350,4/27/2018,Accepted
2019-018196STR,1/31/2019,Pending,STR,246 Douglass Street,3/29/2018,Accepted
2019-018198STR,1/31/2019,Pending,STR,1710 Castro Street,9/5/2018,Accepted
2019-018199STR,1/31/2019,Pending,STR,199 Marietta Drive,5/4/2018,Accepted
2019-018203STR,1/31/2019,Pending,STR,1299 Arguello Boulevard Unit 4,9/11/2018,Accepted
2019-018204STR,1/31/2019,Pending,STR,1186 Noe Street,9/16/2018,Accepted
2019-018470STR,1/31/2019,Pending,STR,1858 10th Avenue,4/24/2019,Under Review
2019-020325STR,1/31/2019,Pending,STR,607 7th Avenue,6/13/2019,Accepted
2019-020326STR,1/31/2019,Pending,STR,1314 27th Avenue,7/3/2019,Accepted
2019-020329STR,1/31/2019,Pending,STR,1627 15th Avenue,7/1/2019,Accepted
2019-020330STR,1/31/2019,Pending,STR,103 Franconia Street,4/15/2019,Accepted
2019-020332STR,1/31/2019,Pending,STR,424 Francisco Street,6/19/2019,Accepted
2019-020334STR,1/31/2019,Pending,STR,3224 Octavia Street,2/15/2019,Accepted
2019-020336STR,1/31/2019,Pending,STR,1445 Lombard Street,7/5/2019,Accepted
2019-020339STR,1/31/2019,Pending,STR,1015 Bosworth Street,6/9/2019,Accepted
2019-020340STR,1/31/2019,Pending,STR,101 Bradford St.,9/4/2019,Accepted
2019-020341STR,1/31/2019,Pending,STR,1628 FULTON ST,8/1/2019,Accepted
2019-020342STR,1/31/2019,Pending,STR,1540 Newhall St.,9/26/2019,Under Review
2019-020343STR,1/31/2019,Pending,STR,1227 Guerrero St,9/23/2019,Accepted
2019-020346STR,1/31/2019,Pending,STR,324 Lakeview Avenue,4/22/2019,Accepted
2019-020347STR,1/31/2019,Pending,STR,1205 Oak St 1,9/20/2019,Accepted
2019-020349STR,1/31/2019,Pending,STR,746 Lyon Street,3/28/2019,Accepted
2019-020352STR,1/31/2019,Pending,STR,501 Donahue St.,9/26/2019,Accepted
2019-020355STR,1/31/2019,Pending,STR,457 Frederick St,9/12/2019,Accepted
2019-018759STR,1/31/2019,Pending,STR,280 Gates Street,4/14/2019,Under Review
2019-018760STR,1/31/2019,Pending,STR,642 Judah Street,3/3/2019,Under Review
2019-018763STR,1/31/2019,Pending,STR,3557 17th Street,6/19/2019,Under Review
2019-018777STR,1/31/2019,Pending,STR,152 San Carlos Street,9/14/2018,Under Review
2019-018850STR,1/31/2019,Pending,STR,1134 Church Street,9/29/2018,Under Review
2019-018872STR,1/31/2019,Pending,STR,3863 19th Street,5/22/2018,Under Review
2019-018877STR,1/31/2019,Pending,STR,4428 18th Street,9/5/2018,Under Review
2019-018880STR,1/31/2019,Pending,STR,1078 Howard Street 301,7/5/2019,Under Review
2019-018933STR,1/31/2019,Pending,STR,1076 De Haro Street,7/2/2018,Under Review
2019-018943STR,1/31/2019,Pending,STR,1168 Folsom Street Unit 501,4/2/2019,Under Review
2019-018961STR,1/31/2019,Pending,STR,1858 10th Avenue,4/24/2019,Under Review
2019-019924STR,1/31/2019,Pending,STR,1478 47th Avenue,10/23/2019,Under Review
2019-018785STR,1/31/2019,Pending,STR,601 Van Ness Avenue,6/19/2019,Under Review
2019-018788STR,1/31/2019,Pending,STR,1402 15th Street,3/27/2019,Under Review
2019-018790STR,1/31/2019,Pending,STR,1096 Ashbury Street Unit 1,5/5/2018,Under Review
2019-018800STR,1/31/2019,Pending,STR,171 Cook Street,6/23/2019,Under Review
2019-018807STR,1/31/2019,Pending,STR,181 Noe Street,6/23/2019,Under Review
2019-018969STR,1/31/2019,Pending,STR,3862 23rd Street,9/14/2018,Under Review
2019-018989STR,1/31/2019,Pending,STR,1535 Oak Street Unit 2,5/22/2018,Under Review
2019-020253STR,1/31/2019,Pending,STR,1760 Waller Street,7/25/2019,Accepted
2019-020254STR,1/31/2019,Pending,STR,1308 Shotwell Street,1/31/2019,Accepted
2019-020266STR,1/31/2019,Pending,STR,855 BRANNAN STREET #483,9/10/2019,Accepted
2019-020267STR,1/31/2019,Pending,STR,1959 Beach Street,6/25/2019,Accepted
2019-020270STR,1/31/2019,Pending,STR,4437 25th Street,7/1/2019,Accepted
2019-020274STR,1/31/2019,Pending,STR,1234 Francisco St. #6,9/26/2019,Accepted
2019-020276STR,1/31/2019,Pending,STR,3526 17th St.,8/9/2019,Accepted
2019-018226STR,1/31/2019,Pending,STR,201 Folsom Street Unit 8H,5/6/2018,Under Review
2019-018241STR,1/31/2019,Pending,STR,1 Enterprise Street,11/20/2018,Under Review
2019-018546STR,1/31/2019,Pending,STR,1654 Great Highway,1/4/2018,Under Review
2019-018556STR,1/31/2019,Pending,STR,855 Brannan Street unit 251,8/29/2018,Under Review
2019-018559STR,1/31/2019,Pending,STR,1300 22nd Street Unit 200,1/11/2019,Under Review
2019-018561STR,1/31/2019,Pending,STR,1266 De Haro Street,8/17/2018,Under Review
2019-018567STR,1/31/2019,Pending,STR,3727 17th Street,1/23/2019,Under Review
2019-018722STR,1/31/2019,Pending,STR,855 Brannan Street Unit 281,6/22/2018,Under Review
2019-018730STR,1/31/2019,Pending,STR,2211 47th Avenue,5/29/2019,Under Review
2019-018736STR,1/31/2019,Pending,STR,1312 Taylor Street,9/7/2018,Under Review
2019-018737STR,1/31/2019,Pending,STR,129 Beaumont Avenue,6/5/2018,Under Review
2019-017766STR,1/31/2019,Pending,STR,2048 14th Avenue,10/4/2019,Open
2019-018272STR,1/31/2019,Pending,STR,3557 17th Street,6/19/2019,Under Review
2019-018667STR,1/31/2019,Pending,STR,2049 Oak Street Unit 4,11/25/2017,Under Review
2019-018682STR,1/31/2019,Pending,STR,380 14th Street Unit 407,4/14/2018,Under Review
2019-016806STR,1/31/2019,Pending,STR,"3415 20th Street, Unit 1",9/16/2019,Accepted
2019-016957STR,1/31/2019,Pending,STR,"330 Scott Street, Unit 1",9/18/2019,Accepted
2019-018282STR,1/31/2019,Pending,STR,331 Prospect Avenue,8/7/2018,Under Review
2019-018309STR,1/31/2019,Pending,STR,171 Cook Street,6/23/2019,Under Review
2019-018313STR,1/31/2019,Pending,STR,1914 Funston Avenue,5/19/2019,Under Review
2019-018316STR,1/31/2019,Pending,STR,181 Noe Street,6/23/2019,Under Review
2019-018319STR,1/31/2019,Pending,STR,538 Mississippi Street,5/17/2019,Under Review
2019-018848STR,1/31/2019,Pending,STR,2158 26th Avenue,7/20/2018,Under Review
2019-020516STR,1/31/2019,Pending,STR,619 Shotwell Street Unit 3,6/19/2019,Accepted
2019-017719STR,1/31/2019,Pending,STR,"7615 Geary Blvd., Unit 301",10/3/2019,Accepted
2019-018909STR,1/31/2019,Pending,STR,4335 Cesar Chavez,2/4/2019,Under Review
2019-018910STR,1/31/2019,Pending,STR,50 Hancock Street Unit B,3/15/2019,Under Review
2019-018911STR,1/31/2019,Pending,STR,272 Lexington Street Unit B,5/14/2019,Under Review
2019-018919STR,1/31/2019,Pending,STR,1140 Dolores Street,6/5/2019,Under Review
2019-018922STR,1/31/2019,Pending,STR,3863 19th Street,5/10/2019,Under Review
2019-018927STR,1/31/2019,Pending,STR,815 Tennesee Street Unit 312,6/5/2019,Under Review
2019-018381STR,1/31/2019,Pending,STR,3863 19th Street,5/22/2018,Under Review
2019-018383STR,1/31/2019,Pending,STR,333 1th Street,4/26/2019,Under Review
2019-018392STR,1/31/2019,Pending,STR,51 Arnold Avenue,4/29/2019,Under Review
2019-018718STR,1/31/2019,Pending,STR,301 Berry Street,10/28/2018,Under Review
2019-018172STR,1/31/2019,Pending,STR,3863 19th Street,5/21/2018,Accepted
