RECORDID,ROW_INDEX,Review_Type,PARENTRECORDID,DATECLOSED,closedate
2016-005484ENV,1,Statutory Exemption,,5/9/2016,5/9/2016
2016-005487ENV,1,Statutory Exemption,,5/12/2016,5/12/2016
2016-005537ENV,1,Public Project Exemption,,11/8/2018,11/8/2018
2016-005596ENV,1,Community Plan-Determination,2016-005596PRJ,6/25/2019,6/25/2019
2016-005599ENV,1,Public Project Exemption,2016-005599PRJ,8/29/2017,8/29/2017
2016-005739ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2016-005739PRJ,1/25/2017,1/25/2017
2016-005941ENV,1,Public Project Exemption,,5/6/2016,5/6/2016
2016-005945ENV,1,Public Project Exemption,,5/6/2016,5/6/2016
2016-006188ENV,1,Public Project Exemption,,8/29/2017,8/29/2017
2016-006393ENV,1,Initial Study-Negative Declaration,2016-006393PRJ,10/18/2017,10/18/2017
2016-006801ENV,1,Categorical Exemption-Determination of Historic Resource,2016-006801PRJ,5/25/2016,5/25/2016
2016-006860ENV,1,Categorical Exemption-Class 32,2016-006860PRJ,5/15/2020,5/15/2020
2016-007164ENV,1,Statutory Exemption,,6/27/2016,6/27/2016
2016-007174ENV,1,Statutory Exemption,,6/27/2016,6/27/2016
2016-007175ENV,2,Statutory Exemption,,7/14/2016,7/14/2016
2016-007190ENV,1,Statutory Exemption,,6/27/2016,6/27/2016
2016-009312ENV,1,Public Project Exemption,,7/18/2016,7/18/2016
2016-009503ENV,1,Categorical Exemption-Stamp,2016-009503PRJ,10/22/2018,10/22/2018
2016-009538ENV,1,Community Plan-Determination,2016-009538PRJ,10/3/2019,10/3/2019
2016-009678ENV,1,Public Project Exemption,,8/30/2016,8/30/2016
2016-010095ENV,1,Categorical Exemption-Determination of Historic Resource,,8/23/2017,8/23/2017
2016-010340ENV,1,Environmental Impact Report,2016-010340PRJ,4/16/2018,4/16/2018
2016-010380ENV,1,Categorical Exemption-Determination of Historic Resource,2016-010380PRJ,10/12/2017,10/12/2017
2016-010544ENV,1,Categorical Exemption-Class 32,2016-010544PRJ,5/5/2017,5/5/2017
2016-010589ENV,1,Community Plan-Exemption/Exclusion,2016-010589PRJ,2/9/2020,2/9/2020
2016-010651ENV,1,Categorical Exemption-Certificate,,8/29/2017,8/29/2017
2016-010686ENV,1,Categorical Exemption-Determination of Historic Resource,2016-010686PRJ,3/20/2018,3/20/2018
2016-011016ENV,1,Public Project Exemption,,10/17/2016,10/17/2016
2016-011019ENV,1,Public Project Exemption,,9/1/2016,9/1/2016
2016-011043ENV,1,Categorical Exemption-Stamp,2016-011043PRJ,2/21/2019,2/21/2019
2016-011091ENV,1,Public Project Exemption,,8/30/2016,8/30/2016
2016-011101ENV,1,Categorical Exemption-Stamp,2016-011101PRJ,12/20/2016,12/20/2016
2016-011136ENV,2,Initial Study-Negative Declaration,2016-011136PRJ,6/24/2021,6/24/2021
2016-011325ENV,1,Public Project Exemption,,9/13/2016,9/13/2016
2016-011333ENV,1,Statutory Exemption,,9/7/2016,9/7/2016
2016-011485ENV,1,Categorical Exemption-Stamp,,11/18/2016,11/18/2016
2016-011632ENV,1,Categorical Exemption-Certificate,2016-011632PRJ,3/8/2018,3/8/2018
2016-011827ENV,1,Community Plan-Determination,2016-011827PRJ,6/2/2021,6/2/2021
2016-011880ENV,1,Public Project Exemption,,2/21/2017,2/21/2017
2016-012157ENV,1,Statutory Exemption,,9/21/2016,9/21/2016
2016-012218ENV,1,Categorical Exemption-Stamp,2016-012218PRJ,4/5/2017,4/5/2017
2016-012312ENV,1,Categorical Exemption-Certificate,2016-006264LLA,4/7/2017,4/7/2017
2016-012474ENV,1,Categorical Exemption-Certificate,2016-012474PRJ,3/4/2021,3/4/2021
2016-012872ENV,1,Categorical Exemption-Determination of Historic Resource,2016-012872PRJ,5/22/2017,5/22/2017
2016-012941ENV,1,Categorical Exemption-Determination of Historic Resource,2016-012941PRJ,4/10/2017,4/10/2017
2016-013012ENV,0,Categorical Exemption-Class 32,2016-013012PRJ,6/17/2021,6/17/2021
2016-013235ENV,1,Statutory Exemption,,10/18/2016,10/18/2016
2016-013306ENV,1,Categorical Exemption-Determination of Historic Resource,2016-013306PRJ,4/10/2018,4/10/2018
2016-013312ENV,1,Community Plan-Exemption/Exclusion,2016-013312PRJ,5/26/2020,5/26/2020
2016-013330ENV,1,Public Project Exemption,,11/18/2016,11/18/2016
2016-013505ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2016-013505PRJ,11/9/2018,11/9/2018
2016-013809ENV,1,Public Project Exemption,,11/18/2016,11/18/2016
2016-013936ENV,1,Statutory Exemption,,11/10/2016,11/10/2016
2016-014062ENV,1,Community Plan-Determination,2016-014062PRJ,5/4/2018,5/4/2018
2016-014739ENV,1,Public Project Exemption,,11/15/2016,11/15/2016
2016-014783ENV,1,Statutory Exemption,,12/16/2016,12/16/2016
2016-014802ENV,1,Initial Study-Environmental Impact Report,2016-014802PRJ,5/21/2020,5/21/2020
2016-014894ENV,1,Categorical Exemption-Determination of Historic Resource,2016-014894PRJ,2/28/2017,2/28/2017
2016-015092ENV,1,Community Plan-Determination,2016-015092PRJ,5/16/2018,5/16/2018
2016-015443ENV,1,Public Project Exemption,,12/2/2016,12/2/2016
2016-015922ENV,0,Categorical Exemption-Determination of Historic Resource Impact,2016-015922PRJ,12/21/2017,12/21/2017
2016-015987ENV,0,Categorical Exemption-Class 32,2016-015987PRJ,9/22/2022,9/22/2022
2016-015997ENV,0,Initial Study,2016-015997PRJ,2/12/2019,2/12/2019
2016-016227ENV,1,Categorical Exemption-Stamp,,12/21/2016,12/21/2016
2016-016465ENV,1,Statutory Exemption,,1/13/2017,1/13/2017
2016-016481ENV,1,General Rule Exclusion,2016-016481PRJ,3/30/2017,3/30/2017
2016-016604ENV,1,Categorical Exemption-Stamp,,11/26/2018,11/26/2018
2017-000094ENV,1,Community Plan-Determination,2017-000094PRJ,1/8/2019,1/8/2019
2017-000149ENV,1,Statutory Exemption,,1/13/2017,1/13/2017
2017-000188ENV,1,Initial Study-Negative Declaration,2017-000188PRJ,9/19/2018,9/19/2018
2017-000225ENV,1,Categorical Exemption-Stamp,,10/28/2019,10/28/2019
2017-000263ENV,1,Categorical Exemption-Determination of Historic Resource,2017-000263PRJ,5/8/2018,5/8/2018
2017-000275ENV,1,Community Plan-Determination,2017-000275PRJ,2/25/2020,2/25/2020
2017-000659ENV,1,Statutory Exemption,,1/17/2017,1/17/2017
2017-000665ENV,1,Statutory Exemption,,1/23/2017,1/23/2017
2017-000667ENV,1,Statutory Exemption,,1/24/2017,1/24/2017
2017-000689ENV,1,Statutory Exemption,,1/31/2017,1/31/2017
2017-000698ENV,1,Categorical Exemption-Determination of Historic Resource,2017-000698PRJ,12/11/2018,12/11/2018
2017-000722ENV,1,Categorical Exemption-Determination of Historic Resource,2017-000722PRJ,2/13/2018,2/13/2018
2017-000807ENV,1,Statutory Exemption,,1/24/2017,1/24/2017
2017-000838ENV,1,General Rule Exclusion,,3/29/2017,3/29/2017
2017-001075ENV,0,Categorical Exemption-Class 32,2017-001075PRJ,1/21/2021,1/21/2021
2017-001152ENV,0,Categorical Exemption-Stamp,2017-001152PRJ,4/18/2017,4/18/2017
2017-001230ENV,1,Categorical Exemption-Stamp,2017-001230PRJ,8/10/2017,8/10/2017
2017-001270ENV,1,Community Plan-Determination,2017-001270PRJ,10/2/2018,10/2/2018
2017-001340ENV,1,Statutory Exemption,,2/3/2017,2/3/2017
2017-001395ENV,1,Public Project Exemption,,2/2/2017,2/2/2017
2017-001419ENV,1,Categorical Exemption-Determination of Historic Resource,2017-001419PRJ,7/21/2017,7/21/2017
2017-001443ENV,1,Public Project Exemption,,2/17/2017,2/17/2017
2017-001467ENV,1,Statutory Exemption,,2/3/2017,2/3/2017
2017-001596ENV,1,Public Project Exemption,,2/9/2017,2/9/2017
2017-001690ENV,1,Community Plan-Exemption/Exclusion,2017-001690PRJ,7/11/2018,7/11/2018
2017-001775ENV,1,Public Project Exemption,,9/15/2017,9/15/2017
2017-001816ENV,0,Categorical Exemption-Class 32,2017-001816PRJ,6/28/2018,6/28/2018
2017-002114ENV,1,Public Project Exemption,2017-002114PRJ,9/27/2017,9/27/2017
2017-002116ENV,1,Public Project Exemption,,9/27/2017,9/27/2017
2017-002118ENV,1,Public Project Exemption,,9/27/2017,9/27/2017
2017-002647ENV,1,Categorical Exemption-Stamp,,4/7/2017,4/7/2017
2017-002649ENV,1,Statutory Exemption,,3/6/2017,3/6/2017
2017-002732ENV,1,Public Project Exemption,,12/7/2017,12/7/2017
2017-002951ENV,1,Community Plan-Exemption/Exclusion,2017-002951PRJ,5/16/2019,5/16/2019
2017-003133ENV,1,Statutory Exemption,,3/23/2017,3/23/2017
2017-003134ENV,1,,2017-003134PRJ,2/15/2018,2/15/2018
2017-003187ENV,1,Statutory Exemption,,4/27/2017,4/27/2017
2017-003193ENV,1,Statutory Exemption,,4/27/2017,4/27/2017
2017-003316ENV,1,Statutory Exemption,,4/26/2017,4/26/2017
2017-003367ENV,1,Categorical Exemption-Determination of Historic Resource,2017-003367PRJ,12/7/2017,12/7/2017
2017-003477ENV,1,Categorical Exemption-Determination of Historic Resource,,8/25/2017,8/25/2017
2017-003559ENV,2,Transportation Impact Study,2017-003559PRJ,5/4/2020,5/4/2020
2017-003582ENV,1,Public Project Exemption,,3/27/2017,3/27/2017
2017-003585ENV,1,Public Project Exemption,,3/27/2017,3/27/2017
2017-003959ENV,1,Categorical Exemption-Determination of Historic Resource,2017-003959PRJ,9/14/2018,9/14/2018
2017-004086ENV,1,Statutory Exemption,,4/19/2017,4/19/2017
2017-004277ENV,1,Public Project Exemption,,4/6/2017,4/6/2017
2017-004389ENV,1,Public Project Exemption,,12/7/2017,12/7/2017
2017-004557ENV,1,Categorical Exemption-Class 32,2017-004557PRJ,3/1/2021,3/1/2021
2017-004721ENV,1,Categorical Exemption-Certificate,2017-004721PRJ,11/6/2017,11/6/2017
2017-004764ENV,1,Statutory Exemption,,4/27/2017,4/27/2017
2017-005039ENV,1,Statutory Exemption,,10/25/2019,10/25/2019
2017-005103ENV,1,Categorical Exemption-Stamp,2017-005103PRJ,12/7/2017,12/7/2017
2017-005154ENV,2,Initial Study,2017-005154PRJ,6/9/2020,6/9/2020
2017-005156ENV,1,Public Project Exemption,,10/25/2019,10/25/2019
2017-005738ENV,1,Categorical Exemption-Determination of Historic Resource,2017-005738PRJ,1/28/2020,1/28/2020
2017-005988ENV,1,Statutory Exemption,,5/19/2017,5/19/2017
2017-006124ENV,1,Public Project Exemption,,6/8/2017,6/8/2017
2017-006245ENV,3,Categorical Exemption-Determination of Historic Resource Impact,2017-006245PRJ,3/7/2018,3/7/2018
2017-006601ENV,1,Public Project Exemption,,1/23/2018,1/23/2018
2017-006615ENV,1,Categorical Exemption-Class 32,2017-006615PRJ,8/6/2018,8/6/2018
2017-006650ENV,1,Public Project Exemption,,1/25/2018,1/25/2018
2017-006848ENV,1,Statutory Exemption,,6/8/2017,6/8/2017
2017-007120ENV,1,Statutory Exemption,,6/8/2017,6/8/2017
2017-007264ENV,1,Public Project Exemption,,1/18/2018,1/18/2018
2017-007283ENV,1,Categorical Exemption-Determination of Historic Resource,2017-007283PRJ,12/6/2018,12/6/2018
2017-007340ENV,1,Statutory Exemption,,6/30/2017,6/30/2017
2017-007542ENV,1,Initial Study-Negative Declaration,2017-007542PRJ,7/23/2018,7/23/2018
2017-007608ENV,3,Categorical Exemption-Determination of Historic Resource Impact,2017-007608PRJ,8/4/2017,8/4/2017
2017-007654ENV,1,Public Project Exemption,,6/20/2017,6/20/2017
2017-007721ENV,2,Statutory Exemption,,6/30/2017,6/30/2017
2017-007812ENV,1,Public Project Exemption,,8/9/2017,8/9/2017
2017-007995ENV,1,Categorical Exemption-Stamp,2017-007995PRJ,12/7/2017,12/7/2017
2017-008051ENV,2,Environmental Impact Report,2017-008051PRJ,7/31/2020,7/31/2020
2017-008247ENV,1,Categorical Exemption-Determination of Historic Resource,2017-008247PRJ,3/28/2018,3/28/2018
2017-008402ENV,1,Public Project Exemption,,7/14/2017,7/14/2017
2017-008483ENV,1,Categorical Exemption-Determination of Historic Resource,2017-008483PRJ,8/21/2017,8/21/2017
2017-008824ENV,1,Initial Study-Negative Declaration,2017-008824PRJ,6/5/2019,6/5/2019
2017-008905ENV,1,Categorical Exemption-Determination of Historic Resource,2017-008905PRJ,10/16/2017,10/16/2017
2017-008991ENV,1,Categorical Exemption-Determination of Historic Resource,2017-008991PRJ,4/10/2018,4/10/2018
2017-009220ENV,1,Negative Declaration Addendum,2017-009220PRJ,10/5/2018,10/5/2018
2017-009510ENV,0,Categorical Exemption-Stamp,2017-009510PRJ,12/14/2018,12/14/2018
2017-009701ENV,2,Statutory Exemption,,8/10/2017,8/10/2017
2017-009796ENV,1,Community Plan-Determination,2017-009796PRJ,3/2/2020,3/2/2020
2017-009966ENV,1,Categorical Exemption-Determination of Historic Resource,2017-009966PRJ,11/13/2018,11/13/2018
2017-010149ENV,1,Categorical Exemption-Determination of Historic Resource,2017-010149PRJ,4/10/2018,4/10/2018
2017-010485ENV,2,Statutory Exemption,,8/31/2017,8/31/2017
2017-010521ENV,4,Public Project Exemption,,12/7/2017,12/7/2017
2017-010559ENV,1,Categorical Exemption-Determination of Historic Resource,2017-010559PRJ,6/12/2018,6/12/2018
2017-010841ENV,2,Statutory Exemption,,10/25/2019,10/25/2019
2017-010917ENV,1,Public Project Exemption,,8/25/2017,8/25/2017
2017-011094ENV,2,Statutory Exemption,,12/7/2017,12/7/2017
2017-015572ENV,1,Categorical Exemption-Determination of Historic Resource,2017-015572PRJ,5/8/2019,5/8/2019
2017-015587ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2017-015587PRJ,4/25/2018,4/25/2018
2017-015590ENV,0,Categorical Exemption-Stamp,2017-015590PRJ,2/7/2019,2/7/2019
2017-015632ENV,1,Public Project Exemption,,1/12/2018,1/12/2018
2017-015678ENV,0,Categorical Exemption-Class 32,2017-015678PRJ,11/23/2021,11/23/2021
2017-015691ENV,0,Categorical Exemption-Class 32,2017-015691PRJ,2/20/2020,2/20/2020
2017-015704ENV,1,Categorical Exemption-Determination of Historic Resource,2017-015704PRJ,12/13/2019,12/13/2019
2017-015730ENV,1,Categorical Exemption-Determination of Historic Resource,2017-015730PRJ,5/14/2018,5/14/2018
2017-011142ENV,1,Categorical Exemption-Determination of Historic Resource,2017-011142PRJ,2/13/2019,2/13/2019
2017-011178ENV,1,Public Project Exemption,,1/18/2018,1/18/2018
2017-011188ENV,1,Public Project Exemption,,1/18/2018,1/18/2018
2017-011190ENV,1,Public Project Exemption,,10/13/2017,10/13/2017
2017-011228ENV,2,Statutory Exemption,,11/14/2017,11/14/2017
2017-011429ENV,2,Statutory Exemption,,11/14/2017,11/14/2017
2017-011465ENV,0,EIR Addendum,2017-011465PRJ,3/2/2018,3/2/2018
2017-011689ENV,1,Categorical Exemption-Certificate,2017-011689PRJ,5/9/2019,5/9/2019
