ENV ID,File Date,Category,Review Type,childRecords
2017-008051ENV,6/23/2017,ECD,Community Plan-Determination,2017-008051ECD2017-008051EEA2017-008051EIR
2017-008051ENV,,EEA,Initial Study,
2017-008051ENV,,EIR,Environmental Impact Report,30 van ness
2017-009510ENV,6/29/2018,EEC,Categorical Exemption-Stamp,2017-009510EEC
2017-009683ENV,7/31/2017,,,
2017-011465ENV,8/31/2017,EIA,EIR Addendum,2017-011465EIA2017-011465ETM
2017-011474ENV,9/29/2017,ECD,Community Plan-Determination,2017-011474ECD
2017-012151ENV,9/20/2017,ECE,Community Plan-Exemption/Exclusion,2017-012151ECD2017-012151ECE
2017-012151ENV,,ECD,Community Plan-Determination,
2017-012783ENV,9/27/2017,ECD,Community Plan-Determination,2017-012783ECD
2017-012789ENV,9/29/2017,ECD,Community Plan-Determination,2017-012789ETR2017-012789ECD
2017-012789ENV,,ETR,Transportation Impact Study,
2017-013659ENV,10/31/2017,ECD,Community Plan-Determination,2017-013659ETR2017-013659ECD
2017-013659ENV,,ETR,Transportation Impact Study,
2017-013728ENV,11/9/2017,ECD,Community Plan-Determination,2017-013728ECD
2017-013741ENV,11/17/2017,ECD,Community Plan-Determination,2017-013741ECD
2017-013929ENV,3/8/2018,EEC,Categorical Exemption-Class 32,2017-013929EEC
2017-014417ENV,7/25/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2017-014417EEC
2017-014586ENV,11/1/2017,,,
2017-014685ENV,10/30/2017,EEC,Categorical Exemption-Determination of Historic Resource Impact,2017-014685EEC
2017-014833ENV,11/27/2017,ETR,Transportation Impact Study,2017-014833ETR2017-014833EEA2017-014833EIR
2017-014833ENV,,EEA,Initial Study,
2017-014833ENV,,EIR,,469 stevenson (Environmental Impact Report)
2017-014925ENV,11/21/2017,EEC,Categorical Exemption-Stamp,2017-014925EEC
2017-015039ENV,3/14/2018,ECE,Community Plan-Exemption/Exclusion,2017-015039APL2017-015039ECE2017-015039ECD
2017-015039ENV,,ECD,Community Plan-Determination,
2017-015115ENV,8/7/2018,EEC,Categorical Exemption-Stamp,2017-015115EEC
2017-015590ENV,7/19/2018,EEC,Categorical Exemption-Stamp,2017-015590EEC
2017-015678ENV,12/22/2017,EEC,Categorical Exemption-Class 32,2017-015678EEC
2017-015691ENV,12/4/2017,EEC,Categorical Exemption-Class 32,2017-015691EEC
2017-016476ENV,5/23/2018,EEC,Categorical Exemption-Class 32,2017-016476EEC
2017-016505ENV,12/22/2017,EEA,Initial Study,2017-016505EEA
2018-000942ENV,10/24/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-000942EEC
2018-001122ENV,1/19/2018,ECE,Community Plan-Exemption/Exclusion,2018-001122ECE2018-001122ETR2018-001122ECD
2018-001122ENV,,ETR,Transportation Impact Study,
2018-001122ENV,,ECD,Community Plan-Determination,
2018-001936ENV,3/7/2018,EEC,Categorical Exemption-Class 32,2018-001936EEC
2018-003085ENV,10/15/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-003085EEC
2018-003449ENV,9/10/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-003449EEC
2018-003610ENV,9/20/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-003610EEC
2018-003692ENV,8/9/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-003692EEC
2018-004282ENV,6/14/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-004282EEC
2018-005768ENV,7/19/2018,EEC,Categorical Exemption-Stamp,2018-005768EEC
2018-006567ENV,7/25/2018,EEC,Categorical Exemption-Stamp,2018-006567EEC
2018-007012ENV,8/31/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-007012EEC
2018-007364ENV,8/31/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-007364EEC
2018-007462ENV,7/26/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-007462EEC
2018-007498ENV,8/9/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-007498EEC
2018-007763ENV,10/24/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-007763EEC
2018-008030ENV,6/5/2018,EEC,Categorical Exemption-Stamp,2018-008030EEC
2018-008323ENV,6/18/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-008323EEC
2018-008586ENV,6/18/2018,EEC,Categorical Exemption-Stamp,2018-008586EEC
2018-008592ENV,6/14/2018,EEC,Categorical Exemption-Stamp,2018-008592EEC
2018-008597ENV,6/14/2018,EEC,Categorical Exemption-Stamp,2018-008597EEC
2018-008863ENV,8/23/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-008863EEC
2018-009380ENV,7/10/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-009380EEC
2018-009426ENV,7/10/2018,EEC,Categorical Exemption-Stamp,2018-009426EEC
2018-009557ENV,7/12/2018,,,
2018-009619ENV,7/12/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-009619EEC
2018-009700ENV,7/20/2018,,,
2018-010062ENV,7/24/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-010062EEC
2018-010178ENV,7/26/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-010178EEC
2018-010581ENV,8/2/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-010581EEC
2018-010781ENV,8/6/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-010781EEC
2018-010844ENV,8/7/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-010844EEC
2018-010953ENV,8/9/2018,,,
2018-010960ENV,8/8/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-010960EEC
2018-010975ENV,8/28/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-010975EEC
2018-011718ENV,8/28/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-011718EEC
2018-011734ENV,8/28/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-011734EEC
2018-011904ENV,8/30/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-011904EEC
2018-011928ENV,8/31/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-011928EEC
2018-011958ENV,8/31/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-011958EEC
2018-011962ENV,8/31/2018,,,
2018-011991ENV,8/31/2018,EEC,Categorical Exemption-Stamp,2018-011991EEC
2018-012070ENV,8/31/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-012070EEC
2018-012237ENV,9/3/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-012237EEC
2018-012427ENV,9/12/2018,EEC,Categorical Exemption-Stamp,2018-012427EEC
2018-012501ENV,9/12/2018,,,
2018-012642ENV,9/14/2018,EEC,Categorical Exemption-Determination of Historic Resource Impact,2018-012642EEC
2018-012648ENV,9/14/2018,,,2018-012648APL2018-012648EEC
2018-012820ENV,9/19/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-012820EEC
2018-012925ENV,9/20/2018,,,
2018-013031ENV,9/21/2018,EEC,Categorical Exemption-Stamp,2018-013031EEC
2018-013044ENV,9/7/2018,EEC,Categorical Exemption-Stamp,2018-013044EEC
2018-013133ENV,9/20/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-013133EEC
2018-013139ENV,10/2/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-013139EEC
2018-013149ENV,9/25/2018,EEC,Categorical Exemption-Stamp,2018-013149EEC
2018-013319ENV,9/28/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-013319EEC
2018-013320ENV,9/28/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-013320EEC
2018-013426ENV,10/10/2018,EEC,Categorical Exemption-Stamp,2018-013426EEC
2018-013621ENV,10/10/2018,EEC,Categorical Exemption-Stamp,2018-013621EEC
2018-013879ENV,10/16/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-013879EEC
2018-014036ENV,10/18/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-014036EEC
2018-014196ENV,10/18/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-014196EEC
2018-014415ENV,10/23/2018,,,
2018-014536ENV,10/25/2018,,,
2018-014668ENV,10/26/2018,EEC,Categorical Exemption-Determination of Historic Resource,2018-014668EEC
2018-015271ENV,11/7/2018,EEC,Categorical Exemption-Stamp,2018-015271EEC
2019-001580ENV,3/15/2019,EEC,Categorical Exemption-Stamp,2019-001580EEC
2019-001580ENV,,ECD,Community Plan-Determination,
2019-004552ENV,4/1/2019,EEC,Categorical Exemption-Determination of Historic Resource,2019-004552EEC
2019-016230ENV,9/4/2019,,,2019-016230ETM (Environmental Impact Report)
2020-003527ENV,3/12/2020,,,2020-003527ETM (Public Project Exemption)
2020-004535ENV,4/14/2020,,,
