B1_ALT_ID,B1_SPECIAL_TEXT,B1_FILE_DD,B1_APPL_STATUS
2018-000101STR,4209 22nd Street,10/4/2017,Closed - Approved
2018-000102STR,1300 Funston Ave,9/14/2017,Closed - Disapproved
2018-000390STR,3028 Laguna Street,11/20/2017,Closed - Disapproved
2018-000391STR,848 42nd Avenue,11/23/2017,Closed - Withdrawn
2018-000392STR,353 King Street Unit 720,11/25/2017,Closed - Disapproved
2018-000393STR,80 Linda Street,11/25/2017,Closed - Disapproved
2018-000394STR,1300 22nd Street Unit 110,11/25/2017,Closed - Disapproved
2018-000395STR,291 Topeka Avenue,11/27/2017,Closed - Disapproved
2018-000396STR,66 Encanto Ave Apt/Unit/etc.,11/29/2017,Closed - Withdrawn
2018-000397STR,15 Claremont Boulevard Upper Unit,11/29/2017,Closed - Disapproved
2018-000398STR,1206 Haight Street,12/1/2017,Closed - Withdrawn
2018-000399STR,1128 Harrison Street,11/30/2017,Closed - Withdrawn
2018-000400STR,517 Vermont Street,12/2/2017,Closed - Withdrawn
2018-000401STR,1492 Guerrero Street,12/6/2017,Closed - Expired
2018-000402STR,2503 Jones Street,12/6/2017,Closed - Disapproved
2018-000403STR,1168 Folsom Street Unit 505,12/6/2017,Closed - Disapproved
2018-000406STR,56 Ellsworth Street,12/8/2017,Closed - Disapproved
2018-000407STR,700 Fell Street Apt #2,12/8/2017,Closed - Withdrawn
2018-000408STR,900 Bush Street Unit 213,12/22/2017,Closed - Disapproved
2018-000409STR,1385 Hudson Avenue,12/22/2017,Closed - Withdrawn
2018-000410STR,2673 22nd Street Studio,12/22/2017,Closed - Disapproved
2018-000411STR,298 Chenery St.,12/10/2017,Closed - Disapproved
2018-000414STR,1023 Plymouth Avenue,12/22/2017,Closed - Withdrawn
2018-000416STR,3772 20th Street,12/22/2017,Closed - Withdrawn
2018-000417STR,2247 47th Avenue,12/22/2017,Closed - Withdrawn
2018-000418STR,530 Chestnut Street Unit 310,12/22/2017,Closed - Withdrawn
2018-000419STR,2101 Judah Street,12/22/2017,Closed - Disapproved
2018-000290STR,730 7th Avenue,12/8/2017,Closed - Withdrawn
2018-000291STR,53 Stillings avenue,12/15/2017,Closed - Withdrawn
2018-000292STR,3014 California Street Apt A,12/2/2017,Closed - Disapproved
2018-000293STR,1322 47th Avenue,12/4/2017,Closed - Disapproved
2018-000294STR,2349 15th Avenue,12/4/2017,Closed - Withdrawn
2018-000295STR,3339 Santiago Street,12/12/2017,Closed - Disapproved
2018-000296STR,4220 21st Street,12/4/2017,Closed - Approved
2018-000298STR,3426 Divisadero Street 'Garden Suite',12/22/2017,Closed - Withdrawn
2018-000299STR,2149 Grove Street,12/6/2017,Under Review
2018-000300STR,1 Dolores Terrace,12/6/2017,Closed - Withdrawn
2018-000301STR,4121 26th St,12/5/2017,Closed - Disapproved
2018-000302STR,4200 23rd Street,12/6/2017,Closed - Withdrawn
2018-000303STR,140 Everson St.,12/4/2017,Closed - Disapproved
2018-000304STR,975 North Point Street,12/22/2017,Closed - Disapproved
2018-000305STR,207 Guerrero Street,12/22/2017,Closed - Withdrawn
2018-000306STR,16 Cityview Way,12/5/2017,Closed - Withdrawn
2018-000307STR,1529 Treat Ave ,12/4/2017,Closed - Withdrawn
2018-000308STR,1109 De Haro Street,12/6/2017,Closed - Withdrawn
2018-000309STR,2321 15th Street 2321 1/2 (back cottage),12/8/2017,Closed - Disapproved
2018-000310STR,651 Minna Street Apt B,12/8/2017,Closed - Disapproved
2018-000311STR,130 Eureka Street Unit 4,12/8/2017,Under Review
2018-000312STR,1705 Page Street 6,12/8/2017,Closed - Disapproved
2018-000313STR,1262 41st Avenue #B,12/8/2017,Closed - Withdrawn
2018-000314STR,1730 22nd Avenue,12/8/2017,Closed - Withdrawn
2018-000315STR,1265 Clay Street,12/8/2017,Closed - Disapproved
2018-000195STR,199 Burnside Avenue,10/28/2017,Closed - Cancelled
2018-000197STR,964 Kansas Street,10/31/2017,Closed - Withdrawn
2018-000198STR,150 San Carlos Street A,11/1/2017,Closed - Withdrawn
2018-000200STR,45 Priest Street,10/31/2017,Closed - Withdrawn
2018-000202STR,515 Powhattan Avenue,11/2/2017,Closed - Approved
2018-000203STR,160 Caselli Avenue,11/4/2017,Closed - Disapproved
2018-000204STR,906 Carolina Street Unit 3,11/2/2017,Closed - Disapproved
2018-000205STR,477 Duboce Avenue,11/2/2017,Closed - Withdrawn
2018-000206STR,1338 26th Avenue,11/4/2017,Closed - Disapproved
2018-000207STR,1008 Sutter Street,11/3/2017,Closed - Withdrawn
2018-000208STR,4860 17th Street,11/4/2017,Under Review
2018-000209STR,1657 Church Street,11/9/2017,Closed - Withdrawn
2018-000210STR,757 Natoma Street A,11/4/2017,Closed - Withdrawn
2018-000211STR,1926 48th Avenue,11/5/2017,Closed - Withdrawn
2018-000212STR,2893 24th St,11/7/2017,Closed - Disapproved
2018-000213STR,236 Shipley Street 201,11/4/2017,Under Review
2018-000214STR,1106 Fulton Street,11/8/2017,Closed - Withdrawn
2018-000215STR,1308 Shotwell St,11/19/2017,Closed - Disapproved
2018-000216STR,580 Funston Avenue,11/8/2017,Closed - Withdrawn
2018-000217STR,914 Plymouth Avenue,11/7/2017,Closed - Withdrawn
2018-000218STR,"426 Fillmore Street, Unit C",11/9/2017,Closed - Withdrawn
2018-000219STR,106 Edna Street,11/18/2017,Closed - Disapproved
2018-000220STR,555 Ivy Street,11/8/2017,Closed - Disapproved
2018-000221STR,793 22nd Avenue,11/10/2017,Closed - Withdrawn
2018-000222STR,69 Diamond St,11/10/2017,Closed - Withdrawn
2018-000223STR,1864 Fell Street,11/9/2017,Closed - Withdrawn
2018-000224STR,"557 Fillmore Street, 4",11/15/2017,Closed - Approved
2018-000225STR,291 Wheeler Avenue,11/29/2017,Closed - Approved
2018-000104STR,1012 Alabama St,11/14/2017,Closed - Disapproved
2018-000105STR,3789 Fillmore Street Unit 7,10/13/2017,Closed - Approved
2018-000107STR,4681 18th Street,12/22/2017,Closed - Withdrawn
2018-000108STR,2345 Jackson Street Apt # 3,10/26/2017,Closed - Withdrawn
2018-000109STR,900 Carolina Street,12/22/2017,Closed - Disapproved
2018-000110STR,4470 17th Street,10/4/2017,Closed - Disapproved
2018-000111STR,80 Venus Street STR,11/2/2017,Closed - Approved
2018-000112STR,111 Hahn St,12/12/2017,Closed - Withdrawn
2018-000113STR,2178 Sutter Street,11/21/2017,Closed - Disapproved
2018-000114STR,855 Brannan Street 540,12/22/2017,Closed - Withdrawn
2018-000116STR,129 Belvedere Street Unit A,10/26/2017,Closed - Withdrawn
2018-000118STR,2116 18th Street,11/9/2017,Under Review
2018-000119STR,55 9th Street Unit 1111,10/18/2017,Under Review
2018-000120STR,1061 Treat Avenue,10/28/2017,Closed - Withdrawn
2018-000121STR,63 Pearl Street,9/6/2017,Closed - Withdrawn
2018-000122STR,150 San Carlos Street,11/4/2017,Closed - Withdrawn
2018-000123STR,385 Crestmont Drive,12/22/2017,Closed - Disapproved
2018-000124STR,722 Steiner St #A,11/9/2017,Closed - Disapproved
2018-000125STR,52 Grenard Terrace,12/8/2017,Closed - Expired
2018-000126STR,24 Chattanooga Street,10/13/2017,Closed - Approved
2018-000127STR,2681 Sutter Street,10/3/2017,Under Review
2018-000128STR,1370 Guerrero st ,12/20/2017,Closed - Approved
2018-000129STR,1450 Grove St.,12/19/2017,Closed - Withdrawn
2018-000226STR,623 Alvarado Street,11/19/2017,Closed - Disapproved
2018-000227STR,1471 South Van Ness Avenue,11/9/2017,Closed - Disapproved
2018-000228STR,2374 Bryant Street Unit B,11/9/2017,Closed - Disapproved
2018-000229STR,829 Folsom Street Unit 900,11/9/2017,Closed - Withdrawn
2018-000230STR,2421 Bryant St,11/10/2017,Closed - Withdrawn
2018-000231STR,2880 Jackson Street STR,11/9/2017,Closed - Disapproved
2018-000232STR,1111 Dolores Street Apartment A,11/15/2017,Closed - Disapproved
2018-000233STR,2439 17th Avenue,11/9/2017,Closed - Withdrawn
2018-000234STR,1873 San Jose Avenue,11/9/2017,Closed - Approved
2018-000235STR,822 14th Street,11/12/2017,Closed - Withdrawn
2018-000236STR,49 Woodland Avenue,11/11/2017,Closed - Withdrawn
2018-000237STR,406 College Avenue,11/11/2017,Closed - Withdrawn
2018-000238STR,331B PAGE ST,12/6/2017,Under Review
2018-000239STR,353 King Street Unit 330,11/17/2017,Closed - Disapproved
2018-000130STR,494 35th Ave,11/30/2017,Closed - Disapproved
2018-000131STR,104 Divisadero Street,12/22/2017,Closed - Withdrawn
2018-000132STR,1723 24th Avenue,12/22/2017,Closed - Disapproved
2018-000133STR,3339 20th st,10/31/2017,Closed - Disapproved
2018-000134STR,701 Florida Street,11/28/2017,Closed - Withdrawn
2018-000135STR,1168 Folsom Street Unit 503,12/8/2017,Closed - Approved
2018-000136STR,1936 Folsom Street,12/22/2017,Closed - Disapproved
2018-000137STR,1261 Rhode Island Street,10/16/2017,Closed - Approved
2018-000138STR,2231 North Point Street,11/1/2017,Closed - Withdrawn
2018-000139STR,2 Dawnview Way,12/22/2017,Closed - Approved
2018-000140STR,749 Capp Street,11/10/2017,Closed - Disapproved
2018-000141STR,1185 Rhode Island street,9/29/2017,Closed - Approved
2018-000142STR,732 15th Avenue,11/15/2017,Closed - Withdrawn
2018-000143STR,2478 3rd Street,12/22/2017,Closed - Approved
2018-000145STR,1851 27th Ave,9/24/2017,Closed - Withdrawn
2018-000146STR,950 Harrison Street #208,11/25/2017,Closed - Approved
2018-000147STR,379 Laidley Street,10/24/2017,Closed - Withdrawn
2018-000148STR,552 Waller Street,11/28/2017,Closed - Approved
2018-000150STR,2044 Jefferson Street,11/17/2017,Closed - Withdrawn
2018-000151STR,855 Brannan Street Unit 376,9/14/2017,Closed - Withdrawn
2018-000153STR,1234 43rd Avenue,11/29/2017,Closed - Expired
2018-000154STR,416 Vallejo Street,11/3/2017,Under Review
2018-000155STR,1760 9th Avenue,12/1/2017,Closed - Disapproved
2018-000156STR,1 Dawson Place 1E,12/22/2017,Closed - Disapproved
2018-000157STR,605 San Bruno Avenue,12/2/2017,Closed - Withdrawn
2018-000158STR,829 Haight Street,11/28/2017,Closed - Withdrawn
2018-000159STR,2050 31st Ave,10/13/2017,Closed - Withdrawn
2018-000160STR,32 Varennes Street,9/23/2017,Closed - Approved
2018-000161STR,42 Homestead Street,11/28/2017,Under Review
2018-000162STR,9 College Terrace,10/7/2017,Closed - Disapproved
2018-000163STR,2006 20th Avenue,11/7/2017,Closed - Withdrawn
2018-000164STR,296 Liberty Street,9/27/2017,Closed - Approved
2018-000165STR,102 Bradford Street Unit B,12/22/2017,Closed - Disapproved
2018-000166STR,278 Bright st,11/13/2017,Closed - Withdrawn
2018-000168STR,133 Caine Ave.,12/14/2017,Closed - Withdrawn
2018-000169STR,379 Hill Street,10/11/2017,Closed - Approved
2018-000170STR,55 9th Street Unit 1706,10/16/2017,Closed - Disapproved
2018-000171STR,1527 Jones Street,10/21/2017,Closed - Withdrawn
2018-000172STR,55 9th Street Unit 1310,10/7/2017,Closed - Withdrawn
2018-000173STR,39 Oakwood St,10/23/2017,Closed - Withdrawn
2018-000174STR,2004 19th Street,10/19/2017,Closed - Withdrawn
2018-000177STR,3051 25th Street,10/18/2017,Under Review
2018-000178STR,1265 Union Street,11/2/2017,Closed - Disapproved
2018-000179STR,532 Natoma Street,10/17/2017,Closed - Disapproved
2018-000181STR,443 15th Avenue 1,12/6/2017,Closed - Withdrawn
2018-000182STR,2215 32nd Ave,12/15/2017,Closed - Withdrawn
2018-000183STR,3191 Washington Street 5,10/20/2017,Closed - Withdrawn
2018-000184STR,683 Castro Street,10/20/2017,Closed - Withdrawn
2018-000185STR,752 Shotwell Street Unit 1,12/22/2017,Under Review
2018-000186STR,731 44th Avenue,11/5/2017,Under Review
2018-000187STR,383 King Street Unit 616,10/26/2017,Closed - Withdrawn
2018-000188STR,30 Bernice Street,12/7/2017,Closed - Withdrawn
2018-000189STR,141 Wool Street,10/26/2017,Closed - Withdrawn
2018-000316STR,847 Baker Street Unit A,12/8/2017,Closed - Disapproved
2018-000317STR,900 Bush Street #302,12/8/2017,Closed - Withdrawn
2018-000318STR,1844 market Street Apt 401,12/8/2017,Closed - Disapproved
2018-000320STR,158 Albion Street,12/8/2017,Closed - Disapproved
2018-000321STR,4136 Judah St.,12/6/2017,Closed - Withdrawn
2018-000322STR,31A Camp Street,12/22/2017,Under Review
2018-000323STR,1400 York Street,12/22/2017,Closed - Disapproved
2018-000324STR,435 Fair Oaks Street,12/12/2017,Closed - Approved
2018-000325STR,246 Bemis Street,12/22/2017,Closed - Withdrawn
2018-000326STR,1112 Larkin Street 203,12/22/2017,Closed - Disapproved
2018-000327STR,2950 California Street,12/22/2017,Closed - Disapproved
2018-000329STR,2787 Bryant Street,12/22/2017,Under Review
2018-000330STR,3129 Divisadero Street,12/22/2017,Under Review
2018-000331STR,30 Edith Street,12/22/2017,Closed - Approved
2018-000332STR,66 Bridgeview Drive,12/12/2017,Closed - Approved
2018-000333STR,1563 48th Avenue Unit #1,12/22/2017,Closed - Withdrawn
2018-000334STR,31 Cityview Way,12/22/2017,Closed - Withdrawn
2018-000335STR,3316 Folsom Street,12/22/2017,Closed - Withdrawn
2018-000240STR,1931 12th Ave,11/10/2017,Closed - Approved
2018-000241STR,455 14th Street Unit 6,11/30/2017,Closed - Disapproved
2018-000242STR,1603 Ingalls Street,11/13/2017,Closed - Approved
2018-000243STR,2100 Ellis Street,11/27/2017,Under Review
2018-000244STR,1530 39th Ave.,11/12/2017,Closed - Approved
2018-000245STR,428 Corbett Avenue,11/14/2017,Closed - Withdrawn
2018-000246STR,853 Ashbury Street,11/15/2017,Closed - Withdrawn
2018-000247STR,10 1/2 Nobles Alley,11/15/2017,Closed - Disapproved
2018-000248STR,1453 18th Avenue Apt A,12/1/2017,Closed - Disapproved
2018-000249STR,2042 42nd Avenue,11/23/2017,Closed - Withdrawn
2018-000250STR,715 Mangels Avenue,12/22/2017,Closed - Disapproved
2018-000251STR,1560 Sacramento Street Unit 306,11/21/2017,Closed - Withdrawn
2018-000252STR,410 Lombard Street,11/18/2017,Closed - Disapproved
2018-000253STR,326 Ashton Avenue,11/19/2017,Closed - Disapproved
2018-000254STR,1662 Union Street,11/27/2017,Closed - Disapproved
2018-000255STR,100 Woodside Avenue,12/8/2017,Closed - Disapproved
2018-000256STR,110 Melrose Avenue,11/29/2017,Closed - Withdrawn
2018-000257STR,939 Jackson St #202,11/28/2017,Closed - Withdrawn
2018-000258STR,934 Diamond St,12/14/2017,Closed - Disapproved
2018-000259STR,258 Shipley Street,11/21/2017,Closed - Disapproved
2018-000260STR,936 Diamond Street,12/14/2017,Closed - Disapproved
2018-000261STR,660 Hayes Street,11/23/2017,Closed - Disapproved
2018-000262STR,331 Connecticut Street,11/22/2017,Closed - Disapproved
2018-000263STR,1028 Newhall Street APPEARS TO BE A DUPLICATE,11/30/2017,Closed - Withdrawn
2018-000265STR,71 Sanchez Street Unit D,11/23/2017,Closed - Withdrawn
2018-000336STR,350 15th Avenue Unit A,12/22/2017,Closed - Disapproved
2018-000337STR,1269 19th Avenue,12/22/2017,Closed - Disapproved
2018-000338STR,1552 Hampshire Street,12/22/2017,Closed - Withdrawn
2018-000420STR,1755 Filbert Street 1R,12/22/2017,Closed - Withdrawn
2018-000421STR,1814 Judah Street,10/12/2017,Closed - Withdrawn
2018-000422STR,37 29th Street A DUPLICATE WITHDRAW,12/22/2017,Closed - Withdrawn
2018-000423STR,1896 Pacific Avenue Penthouse,11/8/2017,Closed - Withdrawn
2018-000425STR,383 King Street Apt 715,11/30/2017,Closed - Disapproved
2018-000426STR,55 9th Street Unit 1216,9/30/2017,Closed - Disapproved
2018-000427STR,624 10th Avenue Third floor SUSPENDED,11/9/2017,Closed - Withdrawn
2018-000428STR,55 9th street #1202,12/8/2017,Under Review
2018-000429STR,56 Amethyst Way,10/27/2017,Closed - Withdrawn
2018-000430STR,301 Guerrero Street,11/5/2017,Closed - Disapproved
2018-000431STR,199 Quintara Street,11/27/2017,Closed - Approved
2018-000432STR,1274 8th Avenue,12/22/2017,Closed - Approved
2018-000266STR,3386 Market Street,11/23/2017,Under Review
2018-000267STR,2723 22nd Street,12/1/2017,Closed - Withdrawn
2018-000268STR,155 Laguna Street,11/25/2017,Under Review
2018-000269STR,2074 Bancroft Avenue,12/8/2017,Closed - Disapproved
2018-000270STR,618 23rd Avenue,11/22/2017,Closed - Approved
2018-000271STR,135 Marina Boulevard,11/25/2017,Closed - Withdrawn
2018-000272STR,130 Vienna Street,11/25/2017,Closed - Withdrawn
2018-000273STR,2145 North Point Street,11/29/2017,Under Review
2018-000274STR,2447 23rd Avenue,12/22/2017,Closed - Approved
2018-000276STR,1090 Dolores Street,11/25/2017,Closed - Withdrawn
2018-000277STR,2049 Oak Street Apt #4,11/27/2017,Under Review
2018-000278STR,2062 48th Avenue,12/1/2017,Closed - Approved
2018-000279STR,587 Holyoke Street,12/6/2017,Withdrawn
2018-000280STR,66 Juanita Way,11/27/2017,Closed - Withdrawn
2018-000281STR,2415 Bay Street,12/18/2017,Closed - Disapproved
2018-000282STR,1168 Folsom St #504,11/30/2017,Closed - Disapproved
2018-000283STR,441 Douglass Street,11/30/2017,Closed - Disapproved
2018-000284STR,2923 23rd Street 1,12/4/2017,Closed - Withdrawn
2018-000285STR,2966 21st Street,12/1/2017,Closed - Disapproved
2018-000286STR,39 Delmar Street,12/1/2017,Closed - Withdrawn
2018-000287STR,81 Lapidge Street,12/1/2017,Closed - Withdrawn
2018-000288STR,1495 Shotwell Street,12/6/2017,Closed - Withdrawn
2018-000289STR,"213 6th ave, Unit B",11/30/2017,Closed - Withdrawn
2018-000340STR,35 Valmar Terrace,12/22/2017,Closed - Withdrawn
2018-000341STR,3250 Divisadero Street Unit 101,12/22/2017,Closed - Withdrawn
2018-000342STR,72 University Street,12/22/2017,Closed - Disapproved
2018-000343STR,333 Presidio Avenue 3,12/22/2017,Closed - Disapproved
2018-000344STR,3809 Cesar Chavez Street,12/22/2017,Closed - Approved
2018-000345STR,356 12th Street Apt. 101,12/22/2017,Closed - Withdrawn
2018-000346STR,1073 Natoma Street,12/22/2017,Closed - Approved
2018-000347STR,130 Kingston Street,12/22/2017,Closed - Withdrawn
2018-000348STR,231 Miramar Avenue,12/22/2017,Closed - Withdrawn
2018-000349STR,3545 Lawton Street,12/20/2017,Closed - Approved
2018-000350STR,1856 Franklin Street Unit 3,12/19/2017,Closed - Approved
2018-000351STR,8 10th Street APT 811,12/22/2017,Closed - Disapproved
2018-000352STR,423 12th Avenue,10/2/2017,Closed - Disapproved
2018-000353STR,3685 24th St,12/12/2017,Closed - Approved
2018-000355STR,1288 8th Avenue,10/1/2017,Closed - Approved
2018-000356STR,701 Minna Street 20,11/1/2017,Under Review
2018-000358STR,965 Sutter Street 505,12/1/2017,Under Review
2018-000359STR,724 12th Avenue,12/22/2017,Closed - Withdrawn
2018-000360STR,654 Gates Street,11/22/2017,Closed - Withdrawn
2018-000361STR,383 King Street 1410,12/4/2017,Closed - Disapproved
2018-000362STR,1302 Pacific Avenue,11/13/2017,Closed - Withdrawn
2018-000041STR,1857 Lombard Street Unit 2,12/2/2017,Closed - Disapproved
2018-000042STR,4348 18th Street,10/29/2017,Closed - Disapproved
2018-000043STR,2254 25th Avenue,11/28/2017,Under Review
2018-000075STR,33 Vandewater Street Unit 305,11/17/2017,Closed - Disapproved
2018-000364STR,554 3rd Avenue,11/28/2017,Closed - Approved
2018-000366STR,240 Ivy Street,10/26/2017,Under Review
2018-000367STR,1229 Page street,10/25/2017,Closed - Withdrawn
2018-000369STR,341 Lexington Street B,10/6/2017,Closed - Approved
2018-000370STR,2941 23rd Avenue,10/18/2017,Under Review
2018-000371STR,1338 York Street,10/27/2017,Closed - Disapproved
2018-000372STR,870 Harrison Street Unit 203,12/22/2017,Closed - Withdrawn
2018-000374STR,1442 22nd Ave,11/16/2017,Closed - Withdrawn
2018-000376STR,952 Haight Street,11/5/2017,Disapproved
2018-000377STR,1555 Shafter Avenue Upstairs,12/8/2017,Closed - Withdrawn
2018-000378STR,1322 Eddy Street,11/7/2017,Closed - Withdrawn
2018-000379STR,1940 Grove Street Unit 3,11/7/2017,Closed - Disapproved
2018-000380STR,245 Bonview St.,11/5/2017,Closed - Disapproved
2018-000381STR,1220 Masonic Avenue,11/7/2017,Closed - Approved
2018-000382STR,2236 23rd Street Unit A,11/9/2017,Under Review
2018-000383STR,271 Shipley Street Apt #5,11/11/2017,Closed - Withdrawn
2018-000384STR,3651 Mission Street B,11/12/2017,Closed - Disapproved
2018-000385STR,1367 Pacific Avenue,11/12/2017,Closed - Withdrawn
2018-000386STR,3900 22nd St,11/17/2017,Closed - Disapproved
2018-000387STR,80 Pond Street,11/18/2017,Closed - Disapproved
2018-000388STR,1690 Page Street,11/17/2017,Closed - Disapproved
2018-000389STR,115 Chenery Street,11/22/2017,Closed - Withdrawn
2018-000191STR,784 Andover Street,10/27/2017,Closed - Disapproved
2018-000192STR,976 Rhode Island St,11/1/2017,Closed - Disapproved
2018-000194STR,1769 Noe St,11/5/2017,Closed - Approved
2018-000044STR,160 Newman St.,11/5/2017,Closed - Disapproved
2018-000045STR,47 Eagle St,12/22/2017,Closed - Approved
2018-000046STR,2278 15th Street Apt 6,11/5/2017,Closed - Disapproved
2018-000047STR,400 Treat Avenue Suite I,12/22/2017,Under Review
2018-000048STR,200 Clayton Street,12/8/2017,Closed - Disapproved
2018-000049STR,273 San Carlos St A,12/22/2017,Closed - Disapproved
2018-000051STR,1667 Fulton Street A,11/30/2017,Closed - Disapproved
2018-000052STR,1017 Shotwell Street,10/26/2017,Closed - Approved
2018-000053STR,1014 Shotwell Street,12/1/2017,Closed - Disapproved
2018-000054STR,3042 Gough Street,11/8/2017,Closed - Withdrawn
2018-000055STR,191 Granville Way,11/29/2017,Closed - Withdrawn
2018-000057STR,1630 Clay Street Unit 4,12/22/2017,Closed - Approved
2018-000059STR,500 Peralta Ave,11/7/2017,Closed - Disapproved
2018-000060STR,879 Shotwell Street,11/8/2017,Closed - Disapproved
2018-000061STR,3338 23rd Street Apt A,12/22/2017,Closed - Withdrawn
2018-000062STR,291 Divisadero Street,12/22/2017,Closed - Disapproved
2018-000063STR,555 Bartlett Street 412,9/20/2017,Closed - Withdrawn
2018-000064STR,2048 Sloat Boulevard,11/27/2017,Closed - Withdrawn
2018-000065STR,440 Sawyer Street,10/24/2017,Closed - Approved
2018-000066STR,51 kissling street,10/17/2017,Closed - Disapproved
2018-000067STR,3750 Market Street,12/8/2017,Closed - Withdrawn
2018-000068STR,170 Valley Street,11/6/2017,Closed - Withdrawn
2018-000069STR,2049 Oak Street Apt 3,11/27/2017,Under Review
2018-000070STR,"178 Bluxome Street, Unit 505",11/23/2017,Closed - Disapproved
2018-000071STR,716 2nd Avenue Unit 7,12/2/2017,Closed - Approved
2018-000072STR,1918 15th St apt 2,12/7/2017,Under Review
2018-000073STR,974 Girard St,11/14/2017,Closed - Disapproved
2018-004778STR,2741 Clay Street Apt #4,2/16/2018,Closed - Withdrawn
2018-004779STR,"353 King Street, Apt 404",1/12/2018,Closed - Disapproved
2018-004780STR,383 King Street Unit 1115,1/11/2018,Closed - Disapproved
2018-004781STR,383 King Street Unit 1010,3/16/2018,Closed - Withdrawn
2018-004782STR,55 9th Street Unit 1003,3/16/2018,Closed - Disapproved
2018-004783STR,55 9th Street Unit 1116,3/16/2018,Closed - Disapproved
2018-004784STR,55 9th Street Unit 1212,2/16/2018,Under Review
2018-004785STR,55 9th Street Unit 713,1/16/2018,Closed - Disapproved
2018-004786STR,855 Brannan Street 450,3/16/2018,Closed - Withdrawn
2018-004787STR,855 Brannan Street 269,3/16/2018,Closed - Withdrawn
2018-004788STR,855 Brannan Street Unit 471,2/16/2018,Closed - Disapproved
2018-004789STR,860 Vallejo Street Unit A,3/16/2018,Closed - Disapproved
2018-004790STR,11 Encline Ct,1/28/2018,Closed - Withdrawn
2018-004791STR,166 Commonwealth Ave,1/15/2018,Closed - Approved
2018-004792STR,1760 Pacific Avenue Apartment 3,3/23/2018,Closed - Withdrawn
2018-004793STR,25 Sierra St. W106,12/27/2017,Under Review
2018-004794STR,3410 San Bruno Ave Second Application After First Denial,2/21/2018,Closed - Disapproved
2018-004795STR,469 47th Avenue,2/1/2018,Closed - Disapproved
2018-004796STR,543 Oak Park Drive,1/15/2018,Closed - Withdrawn
2018-004797STR,722 DIAMOND STREET,1/17/2018,Closed - Disapproved
2018-004798STR,961 Pine Street Unit A,9/12/2017,Closed - Withdrawn
2018-004822STR,843 San Jose Avenue,1/10/2018,Closed - Approved
2018-004823STR,49 Walter Street Unit A,1/10/2018,Closed - Disapproved
2018-004824STR,726 31st Avenue ,1/10/2018,Closed - Disapproved
2018-004825STR,890 Girard Street,1/10/2018,Closed - Disapproved
2018-004826STR,21 Bessie Street,1/10/2018,Closed - Withdrawn
2018-004827STR,3528 17th St,1/10/2018,Closed - Withdrawn
2018-004828STR,3864 21st Street,1/11/2018,Closed - Disapproved
2018-004829STR,1137 Munich Street,1/11/2018,Closed - Expired
2018-004830STR,3938 17th st,1/11/2018,Closed - Disapproved
2018-004831STR,318 Holladay Ave,1/11/2018,Closed - Withdrawn
2018-004799STR,1096 Rhode Island St,10/26/2017,Closed - Approved
2018-004800STR,1359 48th Avenue,11/6/2017,Closed - Disapproved
