PARENT RECORD ID,Governing,Publication_Date,Review_Type
2008.0307,Exemption,,Categorical Exemption-Stamp
2008.0313,Exemption,4/17/2008,Categorical Exemption-Stamp
2008.0314,Exemption,3/20/2008,Categorical Exemption-Stamp
2008.0315,Exemption,2/6/2009,Categorical Exemption-Certificate
2008.0317,Exemption,3/20/2008,Categorical Exemption-Stamp
2008.0318,Exemption,7/23/2008,Initial Study-Negative Declaration
2008.0319,Exemption,9/26/2008,Categorical Exemption-Certificate
2008.0320,Exemption,11/19/2008,Categorical Exemption-Certificate
2008.0321,Exemption,4/11/2008,Categorical Exemption-Stamp
2008.0322,Exemption,6/6/2008,Categorical Exemption-Stamp
2008.0323,Exemption,7/11/2008,Categorical Exemption-Stamp
2008.0324,Exemption,3/25/2008,Categorical Exemption-Stamp
2008.0325,Exemption,3/25/2008,Categorical Exemption-Stamp
2008.0326,Exemption,6/6/2008,Categorical Exemption-Class 32
2008.0329,Exemption,3/18/2008,Categorical Exemption-Stamp
2008.0331,Exemption,3/20/2008,Environmental Impact Report
2008.0367,Exemption,12/30/2008,Categorical Exemption-Certificate
2008.0368,Exemption,5/28/2008,Categorical Exemption-Certificate
2008.0369,Exemption,3/25/2008,Categorical Exemption-Certificate
2008.0371,Exemption,5/12/2009,Categorical Exemption-Stamp
2008.0374,Exemption,9/22/2009,Categorical Exemption-Stamp
2008.0375,Exemption,3/25/2008,Categorical Exemption-Stamp
2008.0378,Exemption,4/2/2008,Initial Study-Negative Declaration
2008.0379,Exemption,7/28/2008,Categorical Exemption-Stamp
2008.0380,Exemption,3/18/2010,Categorical Exemption-Stamp
2008.0386,Negative Declaration,9/10/2012,Categorical Exemption-Stamp
2008.0388,Exemption,4/7/2008,Categorical Exemption-Stamp
2008.0393,Exemption,,Categorical Exemption-Stamp
2008.0394,Exemption,,Categorical Exemption-Certificate
2008.0395,Negative Declaration,,Categorical Exemption-Certificate
2008.0404,Negative Declaration,6/24/2008,Categorical Exemption-Certificate
2008.0405,Exemption,11/7/2008,Categorical Exemption-Certificate
2008.0406,Exemption,8/7/2008,Categorical Exemption-Stamp
2008.0407,Negative Declaration,,Categorical Exemption-Certificate
2008.0408,Exemption,11/17/2008,Categorical Exemption-Certificate
2008.0409,Exemption,,Categorical Exemption-Stamp
2008.0410,Exemption,5/21/2014,Categorical Exemption-Stamp
2008.0411,Exemption,4/11/2008,Categorical Exemption-Certificate
2008.0412,Exemption,4/11/2008,Categorical Exemption-Certificate
2008.0413,Exemption,4/15/2008,Categorical Exemption-Stamp
2008.0415,Exemption,7/29/2009,Categorical Exemption-Stamp
2008.0419,Exemption,4/21/2008,Categorical Exemption-Certificate
2008.0426,Exemption,8/21/2008,Categorical Exemption-Stamp
2008.0427,Exemption,4/11/2008,Categorical Exemption-Stamp
2008.0429,Exemption,5/19/2008,Categorical Exemption-Certificate
2008.0430,Exemption,7/16/2009,Categorical Exemption-Certificate
2008.0431,Exemption,,Categorical Exemption-Stamp
2008.0434,Exemption,10/20/2008,Categorical Exemption-Certificate
2008.0435,Exemption,4/25/2008,Categorical Exemption-Certificate
2008.0437,Exemption,5/9/2008,Categorical Exemption-Stamp
2008.0441,Exemption,6/2/2008,Categorical Exemption-Stamp
2008.0443,Exemption,4/21/2008,Categorical Exemption-Certificate
2008.0444,Exemption,6/4/2008,Categorical Exemption-Certificate
2008.0445,Exemption,4/25/2008,Initial Study-Negative Declaration
2008.0461,Exemption,6/18/2008,Categorical Exemption-Stamp
2008.0463,Exemption,5/21/2008,Categorical Exemption-Stamp
2008.0466,Exemption,4/22/2008,Categorical Exemption-Stamp
2008.0467,Exemption,5/8/2009,Initial Study-Negative Declaration
2008.0468,Exemption,4/22/2008,Initial Study-Negative Declaration
2008.0485,Exemption,4/29/2008,Categorical Exemption-Stamp
2008.0486,Exemption,5/22/2008,Categorical Exemption-Certificate
2008.0487,Exemption,5/1/2008,Initial Study-Negative Declaration
2008.0493,Exemption,,Categorical Exemption-Stamp
2008.0495,Exemption,5/12/2008,Categorical Exemption-Certificate
2008.0496,Exemption,10/9/2008,Categorical Exemption-Certificate
2008.0498,Negative Declaration,9/9/2008,Categorical Exemption-Class 32
2008.0499,Exemption,5/2/2008,Project Profile (PRJ)
2008.0505,Exemption,,Categorical Exemption-Stamp
2008.0535,Exemption,5/6/2008,Categorical Exemption-Stamp
2008.0536,Exemption,5/21/2008,Categorical Exemption-Stamp
2008.0538,Negative Declaration,1/17/2013,Categorical Exemption-Certificate
2008.0539,Exemption,,Categorical Exemption-Stamp
2008.0540,Exemption,5/6/2008,Categorical Exemption-Stamp
2008.0544,Exemption,6/18/2008,Categorical Exemption-Stamp
2008.0548,Exemption,6/5/2008,Categorical Exemption-Stamp
2008.0550,Community Plan Evaluation,11/9/2010,Categorical Exemption-Class 32
2008.0551,Exemption,5/12/2008,Categorical Exemption-Certificate
2008.0552,Exemption,6/18/2008,Categorical Exemption-Determination of Historic Resource
2008.0554,Exemption,5/12/2008,Categorical Exemption-Stamp
2008.0555,Exemption,5/12/2008,Categorical Exemption-Stamp
2008.0556,Exemption,5/12/2008,Categorical Exemption-Stamp
2008.0558,Exemption,6/8/2009,Categorical Exemption-Stamp
2008.0565,Exemption,5/20/2008,Categorical Exemption-Stamp
2008.0566,Exemption,,Categorical Exemption-Stamp
2008.0567,Exemption,12/22/2008,Categorical Exemption-Certificate
2008.0568,Exemption,6/11/2009,Categorical Exemption-Stamp
2008.0577,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0579,Exemption,,Categorical Exemption-Certificate
2008.0580,Exemption,1/26/2009,Categorical Exemption-Stamp
2008.0581,Exemption,7/11/2008,Categorical Exemption-Stamp
2008.0583,Exemption,5/20/2008,Categorical Exemption-Stamp
2008.0584,Exemption,,Categorical Exemption-Stamp
2008.0585,Exemption,5/20/2008,Categorical Exemption-Stamp
2008.0586,Environmental Impact Report,,Categorical Exemption-Stamp
2008.0593,Exemption,5/20/2008,Categorical Exemption-Stamp
2008.0595,Exemption,5/20/2008,Initial Study-Negative Declaration
2008.0598,Exemption,,Categorical Exemption-Stamp
2008.0599,Exemption,5/22/2008,Categorical Exemption-Certificate
2008.0600,Exemption,9/25/2008,Categorical Exemption-Stamp
2008.0601,Exemption,6/3/2008,Categorical Exemption-Stamp
2008.0602,Exemption,6/3/2008,Initial Study-Negative Declaration
2008.0603,Exemption,6/3/2008,Categorical Exemption-Certificate
2008.0604,Exemption,6/3/2008,Categorical Exemption-Stamp
2008.0605,Exemption,6/3/2008,Categorical Exemption-Certificate
2008.0606,Exemption,5/22/2008,Categorical Exemption-Certificate
2008.0608,Exemption,6/3/2008,Community Plan-Initial Study/Environmental Evaluation
2008.0609,Exemption,6/3/2008,Categorical Exemption-Stamp
2008.0610,Exemption,,Categorical Exemption-Certificate
2008.0611,Exemption,,Categorical Exemption-Stamp
2008.0612,Exemption,,Categorical Exemption-Stamp
2008.0613,Exemption,11/10/2008,Categorical Exemption-Stamp
2008.0617,Exemption,,Categorical Exemption-Certificate
2008.0618,Exemption,6/17/2008,Categorical Exemption-Stamp
2008.0620,Exemption,6/3/2008,Categorical Exemption-Stamp
2008.0621,Exemption,7/3/2008,Categorical Exemption-Stamp
2008.0626,Exemption,6/6/2008,Categorical Exemption-Certificate
2008.0627,Exemption,2/4/2009,Categorical Exemption-Stamp
2008.0639,Exemption,6/10/2008,Categorical Exemption-Stamp
2008.0640,Exemption,6/11/2008,Categorical Exemption-Certificate
2008.0641,Exemption,6/11/2008,Categorical Exemption-Certificate
2008.0646,Exemption,6/6/2008,Categorical Exemption-Stamp
2008.0649,Exemption,6/4/2008,Categorical Exemption-Stamp
2008.0658,Exemption,11/17/2008,Categorical Exemption-Stamp
2008.0660,Exemption,10/6/2008,Environmental Impact Report
2008.0662,Exemption,11/7/2008,Environmental Impact Report
2008.0663,Exemption,8/15/2008,Categorical Exemption-Stamp
2008.0664,Exemption,7/8/2008,Categorical Exemption-Stamp
2008.0665,Exemption,6/24/2008,Categorical Exemption-Stamp
2008.0669,Exemption,6/5/2008,Categorical Exemption-Stamp
2008.0670,Exemption,6/11/2008,Categorical Exemption-Certificate
2008.0671,Exemption,7/10/2008,Categorical Exemption-Stamp
2008.0672,Exemption,11/10/2008,Categorical Exemption-Stamp
2008.0673,Exemption,1/23/2009,Categorical Exemption-Stamp
2008.0677,Exemption,7/30/2008,Categorical Exemption-Stamp
2008.0678,Exemption,2/13/2009,Categorical Exemption-Stamp
2008.0680,0,9/25/2013,Categorical Exemption-Stamp
2008.0682,Exemption,9/18/2008,Categorical Exemption-Stamp
2008.0691,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0700,Negative Declaration,,Categorical Exemption-Stamp
2008.0709,Exemption,10/23/2008,Categorical Exemption-Stamp
2008.0710,Exemption,6/17/2008,Categorical Exemption-Certificate
2008.0714,Exemption,12/11/2008,Categorical Exemption-Certificate
2008.0718,Exemption,9/3/2008,Categorical Exemption-Stamp
2008.0719,Exemption,10/14/2008,Categorical Exemption-Stamp
2008.0721,Exemption,7/7/2008,Categorical Exemption-Stamp
2008.0723,Negative Declaration,1/26/2011,Categorical Exemption-Stamp
2008.0725,Exemption,8/5/2009,Categorical Exemption-Stamp
2008.0726,Exemption,3/15/2010,Categorical Exemption-Determination of Historic Resource
2008.0727,Exemption,9/18/2008,Categorical Exemption-Stamp
2008.0728,Exemption,,Categorical Exemption-Stamp
2008.0732,Exemption,6/23/2008,Categorical Exemption-Stamp
2008.0734,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0735,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0736,Exemption,6/30/2008,Categorical Exemption-Certificate
2008.0739,Exemption,1/29/2009,Categorical Exemption-Certificate
2008.0740,Exemption,7/1/2008,Categorical Exemption-Stamp
2008.0745,Exemption,7/1/2008,Categorical Exemption-Certificate
2008.0746,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0747,Exemption,7/1/2008,Categorical Exemption-Stamp
2008.0748,Exemption,7/1/2008,Categorical Exemption-Stamp
2008.0762,0,3/21/2013,Categorical Exemption-Stamp
2008.0774,Negative Declaration,,Categorical Exemption-Stamp
2008.0775,Exemption,7/1/2009,Categorical Exemption-Certificate
2008.0776,Exemption,7/9/2008,Categorical Exemption-Certificate
2008.0778,Negative Declaration,7/15/2008,Categorical Exemption-Stamp
2008.0781,Exemption,,Categorical Exemption-Stamp
2008.0782,Exemption,8/26/2008,Note to File
2008.0783,Exemption,9/10/2008,Initial Study-Negative Declaration
2008.0788,Exemption,12/30/2008,Categorical Exemption-Certificate
2008.0789,Environmental Impact Report,,Categorical Exemption-Stamp
2008.0791,Exemption,9/26/2008,Initial Study-Negative Declaration
2008.0792,Exemption,7/24/2008,Categorical Exemption-Certificate
2008.0794,Exemption,3/6/2009,Categorical Exemption-Stamp
2008.0795,Exemption,3/27/2009,Categorical Exemption-Certificate
2008.0796,Exemption,7/18/2008,Categorical Exemption-Stamp
2008.0797,Negative Declaration,7/22/2010,Categorical Exemption-Certificate
2008.0801,Environmental Impact Report,11/13/2012,Categorical Exemption-Stamp
2008.0810,Exemption,7/15/2008,Initial Study-Negative Declaration
2008.0811,Exemption,7/22/2008,Categorical Exemption-Certificate
2008.0812,Exemption,7/22/2008,Categorical Exemption-Certificate
2008.0845,Negative Declaration,,Categorical Exemption-Certificate
2008.0856,Exemption,,Categorical Exemption-Stamp
2008.0857,Exemption,,Categorical Exemption-Stamp
2008.0858,Exemption,7/22/2008,Categorical Exemption-Stamp
2008.0864,Exemption,7/29/2008,Categorical Exemption-Stamp
2008.0865,Exemption,7/23/2008,Categorical Exemption-Stamp
2008.0869,Exemption,,Categorical Exemption-Certificate
2008.0870,Exemption,10/6/2009,Categorical Exemption-Stamp
2008.0872,Exemption,7/16/2009,Categorical Exemption-Stamp
2008.0873,Exemption,10/24/2008,Categorical Exemption-Stamp
2008.0874,Exemption,7/14/2009,Categorical Exemption-Stamp
2008.0877,Addendum,9/25/2013,Categorical Exemption-Stamp
2008.0879,Exemption,10/1/2008,Note to File
2008.0880,Exemption,8/19/2008,Environmental Impact Report
2008.0901,Exemption,7/28/2008,Initial Study-Negative Declaration
2008.0904,Exemption,,Initial Study-Negative Declaration
2008.0905,Exemption,8/1/2008,Categorical Exemption-Stamp
2008.0907,Exemption,12/15/2009,Categorical Exemption-Stamp
2008.0910,Exemption,9/17/2008,Initial Study-Negative Declaration
2008.0911,Exemption,,Categorical Exemption-Stamp
2008.0924,Exemption,8/7/2008,Categorical Exemption-Stamp
2008.0926,Exemption,,Categorical Exemption-Stamp
2008.0927,Exemption,9/23/2008,Categorical Exemption-Certificate
2008.0928,Exemption,,Environmental Impact Report
2008.0953,Exemption,12/18/2008,EIR Addendum
2008.0954,Exemption,9/24/2008,Categorical Exemption-Certificate
2008.0968,Exemption,,Categorical Exemption-Stamp
2008.0970,Exemption,8/12/2008,Categorical Exemption-Certificate
2008.0975,Exemption,1/14/2009,Categorical Exemption-Class 32
2008.0979,Exemption,8/18/2008,Categorical Exemption-Certificate
2008.0980,Exemption,10/16/2008,Initial Study-Negative Declaration
2008.0981,Addendum,,Environmental Impact Report
2008.0983,Exemption,8/19/2008,Initial Study-Negative Declaration
2008.0984,Exemption,,Categorical Exemption-Stamp
2008.0985,Exemption,1/12/2009,Categorical Exemption-Stamp
2008.0986,Exemption,11/24/2008,Categorical Exemption-Stamp
2008.0989,Exemption,8/19/2008,Initial Study-Negative Declaration
2008.0992,Negative Declaration,10/27/2009,Categorical Exemption-Stamp
2008.0994,Exemption,8/25/2008,Categorical Exemption-Stamp
2008.0995,Exemption,8/21/2008,Categorical Exemption-Stamp
2008.0999,Negative Declaration,,Categorical Exemption-Stamp
2008.1000,Exemption,9/11/2008,Categorical Exemption-Stamp
2008.1027,Exemption,9/26/2008,Categorical Exemption-Stamp
2008.1029,Exemption,10/30/2008,Categorical Exemption-Stamp
2008.1031,Exemption,1/13/2009,Categorical Exemption-Certificate
2008.1032,Negative Declaration,,Categorical Exemption-Stamp
2008.1045,Exemption,,Categorical Exemption-Certificate
2008.1046,Exemption,9/23/2008,EIR Addendum
2008.1047,Exemption,9/23/2008,EIR Addendum
2008.1050,Exemption,2/24/2010,Environmental Impact Report
2008.1051,Exemption,9/8/2008,Categorical Exemption-Stamp
2008.1052,Addendum,,Categorical Exemption-Stamp
2008.1053,Exemption,4/24/2009,Categorical Exemption-Stamp
2008.1054,Exemption,,Categorical Exemption-Stamp
2008.1055,Exemption,9/4/2008,Categorical Exemption-Stamp
2008.1057,Exemption,9/23/2008,Categorical Exemption-Class 32
2008.1062,Exemption,12/18/2008,Categorical Exemption-Stamp
2008.1063,Exemption,10/8/2008,Categorical Exemption-Stamp
2008.1064,Exemption,12/12/2008,Categorical Exemption-Stamp
2008.1065,Exemption,10/7/2008,Categorical Exemption-Stamp
2008.1066,Exemption,8/5/2009,Categorical Exemption-Stamp
2008.1067,Exemption,11/20/2008,Categorical Exemption-Stamp
2008.1068,Exemption,11/12/2008,Categorical Exemption-Stamp
2008.1072,Exemption,11/17/2008,Categorical Exemption-Stamp
2008.1075,Addendum,10/20/2015,Categorical Exemption-Stamp
2008.1084,Environmental Impact Report,3/7/2013,Categorical Exemption-Stamp
2008.1087,Exemption,1/20/2009,Initial Study-Negative Declaration
2008.1088,Exemption,12/31/2008,Categorical Exemption-Stamp
2008.1089,Exemption,9/18/2008,Categorical Exemption-Certificate
2008.1090,Exemption,9/22/2008,Categorical Exemption-Stamp
2008.1091,Exemption,9/22/2008,Categorical Exemption-Stamp
2008.1092,Exemption,9/17/2008,Negative Declaration Addendum
2008.1095,Exemption,,Categorical Exemption-Certificate
2008.1096,Exemption,10/30/2008,Categorical Exemption-Certificate
2008.1103,Exemption,10/30/2008,Categorical Exemption-Stamp
2008.1108,Exemption,10/22/2008,Categorical Exemption-Stamp
2008.1109,Exemption,4/16/2009,Categorical Exemption-Stamp
2008.1110,Negative Declaration,12/24/2008,Initial Study-Negative Declaration
2008.1112,Exemption,,Categorical Exemption-Stamp
2008.1122,Negative Declaration,12/30/2009,Categorical Exemption-Stamp
2008.1144,Exemption,,Initial Study-Negative Declaration
2008.1147,Exemption,,Categorical Exemption-Certificate
2008.1148,Exemption,9/30/2008,Categorical Exemption-Certificate
2008.1151,Exemption,11/13/2008,Categorical Exemption-Certificate
2008.1152,Exemption,,Categorical Exemption-Stamp
2008.1153,Exemption,11/8/2008,Initial Study-Negative Declaration
2008.1162,Addendum,9/2/2009,Categorical Exemption-Stamp
2008.1167,Exemption,,Categorical Exemption-Stamp
2008.1169,Exemption,12/10/2009,Categorical Exemption-Stamp
2008.1170,Exemption,,Categorical Exemption-Certificate
2008.1171,Exemption,6/11/2009,Categorical Exemption-Stamp
2008.1178,Exemption,1/8/2009,EIR Addendum
2008.1179,Exemption,1/13/2009,Categorical Exemption-Certificate
2008.1181,Exemption,10/15/2008,Categorical Exemption-Stamp
2008.1182,Exemption,12/10/2008,Categorical Exemption-Stamp
2008.1184,Exemption,10/15/2008,Categorical Exemption-Stamp
2008.1186,Exemption,10/22/2008,Categorical Exemption-Stamp
2008.1187,Exemption,1/28/2009,Categorical Exemption-Determination of Historic Resource
2008.1188,Exemption,12/31/2008,Categorical Exemption-Determination of Historic Resource
2008.1191,Exemption,5/27/2009,Categorical Exemption-Determination of Historic Resource
2008.1193,Exemption,,Categorical Exemption-Stamp
2008.1202,Exemption,,Categorical Exemption-Determination of Historic Resource
2008.1204,Exemption,,Categorical Exemption-Determination of Historic Resource
2008.1207,Exemption,,Categorical Exemption-Determination of Historic Resource
2008.1208,Exemption,,Categorical Exemption-Stamp
2008.1218,Exemption,3/2/2009,EIR Addendum
2008.1222,Exemption,10/27/2008,Negative Declaration Addendum
2008.1223,Exemption,6/23/2009,Initial Study-Negative Declaration
2008.1224,Exemption,,Environmental Impact Report
2008.1229,Exemption,11/13/2008,Environmental Impact Report
2008.1230,Exemption,4/23/2009,Initial Study-Environmental Impact Report
2008.1231,Exemption,12/9/2008,EIR Addendum
2008.1232,Exemption,2/5/2009,Categorical Exemption-Determination of Historic Resource
2008.1234,Community Plan Evaluation,7/14/2010,Categorical Exemption-Determination of Historic Resource
2008.1236,Negative Declaration,,Categorical Exemption-Stamp
2008.1267,Exemption,11/10/2008,Categorical Exemption-Stamp
2008.1268,Exemption,11/17/2008,Categorical Exemption-Stamp
2008.1269,Exemption,11/17/2008,Categorical Exemption-Stamp
2008.1270,Exemption,11/21/2008,Categorical Exemption-Stamp
2008.1273,Exemption,1/8/2009,Categorical Exemption-Stamp
2008.1274,Exemption,3/27/2009,Categorical Exemption-Stamp
2008.1286,Negative Declaration,,Categorical Exemption-Certificate
2008.1289,Exemption,2/19/2009,Categorical Exemption-Certificate
2008.1301,Exemption,11/21/2008,Initial Study-Negative Declaration
2008.1303,Exemption,11/24/2008,Categorical Exemption-Certificate
2008.1307,Exemption,1/20/2009,Categorical Exemption-Stamp
2008.1308,Exemption,1/13/2009,Initial Study-Negative Declaration
2008.1315,Exemption,12/9/2008,Categorical Exemption-Stamp
2008.1324,Exemption,12/9/2008,Categorical Exemption-Certificate
2008.1325,Exemption,12/9/2008,Categorical Exemption-Stamp
2008.1326,Exemption,12/9/2008,Categorical Exemption-Determination of Historic Resource
2008.1328,Community Plan Evaluation,7/16/2009,Categorical Exemption-Determination of Historic Resource
2008.1330,Exemption,1/27/2009,Categorical Exemption-Determination of Historic Resource Impact
2008.1331,Exemption,,Negative Declaration Addendum
2008.1344,Exemption,12/5/2008,Categorical Exemption-Stamp
2008.1348,Exemption,1/15/2009,Categorical Exemption-Determination of Historic Resource
